Rank,Name,G,GS,GR,GF,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Season,Position
10,유승철,39,0,39,13,1,0,1,3,47.1,23,25,27.95,220,49,10,1,5,29,4,3,44,1,0,4,4.37,4.75,5.31,5.28,5.38,1.65,18,P
11,황인준,37,2,35,16,3,1,0,1,52.2,29,31,33.55,229,58,13,1,9,12,6,0,35,3,0,0,4.96,5.30,5.73,5.65,5.78,1.33,18,P
12,박준표,1,0,1,0,0,0,0,0,2.0,0,0,0.00,8,0,0,0,0,2,0,0,2,0,0,0,0.00,0.00,0.00,0.00,4.95,1.00,18,P
13,정용운,3,3,0,0,1,0,0,0,10.0,7,7,6.65,45,10,0,0,1,8,0,0,5,0,0,1,6.30,6.30,5.99,5.71,6.77,1.80,18,P
14,전상현,5,2,3,0,0,0,0,0,10.1,7,7,7.20,55,19,4,0,1,5,0,0,7,0,0,0,6.10,6.10,6.27,6.08,5.31,2.32,18,P
15,김유신,10,2,8,4,0,0,0,0,13.0,14,14,11.10,57,13,2,1,0,6,1,0,6,0,0,0,9.69,9.69,7.68,8.01,4.86,1.46,18,P
16,박경태,4,0,4,2,0,0,0,0,6.1,4,5,6.90,29,7,2,0,0,2,1,0,6,1,0,1,5.68,7.11,9.81,8.53,3.45,1.42,18,P
17,고영창,2,0,2,0,0,0,0,0,0.0,6,6,4.30,6,4,2,0,0,1,1,0,0,0,0,0,99.99,99.99,121.74,106.36,6204.35,99.99,18,P
18,윤석민,28,3,25,20,0,8,11,0,40.0,30,32,33.70,182,55,13,0,9,10,0,2,29,3,0,5,6.75,7.20,7.58,7.53,5.83,1.63,18,P
19,심동섭,7,0,7,2,0,0,0,1,5.2,4,4,5.40,27,7,4,0,0,3,0,0,5,0,0,0,6.35,6.35,8.58,8.71,3.78,1.76,18,P
20,김세현,40,0,40,24,1,6,4,0,40.0,30,32,30.55,191,56,13,2,4,17,2,4,32,3,0,1,6.75,7.20,6.87,6.98,4.85,1.83,18,P
21,하준영,15,0,15,4,0,0,0,0,14.2,15,15,15.90,67,16,0,0,3,8,1,0,12,0,0,3,9.20,9.20,9.76,10.30,6.64,1.64,18,P
22,이민우,30,2,28,6,2,3,0,4,37.2,30,34,32.05,188,52,6,2,4,23,5,0,28,2,0,2,7.17,8.12,7.66,7.59,6.06,1.99,18,P
23,박정수,11,0,11,2,0,0,0,0,13.1,17,18,16.10,66,17,4,2,2,5,3,0,16,1,0,0,11.48,12.15,10.87,10.36,4.99,1.65,18,P
24,홍건희,11,1,10,4,0,1,0,0,16.2,19,20,22.55,88,32,8,1,4,7,1,1,13,1,0,0,10.26,10.80,12.18,12.30,6.56,2.34,18,P
1,양현종,29,29,0,2,16,8,0,0,184.2,47,56,54.95,731,165,32,1,6,33,2,0,163,6,0,1,2.29,2.73,2.68,2.64,2.58,1.07,19,P
2,윌랜드,28,28,0,0,8,10,0,0,165.0,87,95,91.55,726,191,41,1,17,59,5,1,137,9,0,4,4.75,5.18,4.99,4.95,4.14,1.52,19,P
3,문경찬,54,0,54,43,1,2,24,0,55.0,8,9,16.05,217,45,9,1,2,10,0,1,50,1,0,0,1.31,1.47,2.63,2.51,2.48,1.00,19,P
4,전상현,57,0,57,15,1,4,0,15,60.2,21,21,18.25,245,45,8,1,3,21,2,2,62,1,0,2,3.12,3.12,2.71,2.69,2.92,1.09,19,P
5,박준표,49,0,49,6,5,2,0,15,56.0,13,15,16.60,210,42,5,1,4,6,4,1,30,1,0,1,2.09,2.41,2.67,2.71,3.82,0.86,19,P
6,김기훈,19,16,3,0,3,6,0,0,79.1,49,55,50.00,368,64,15,2,11,65,9,0,49,3,0,5,5.56,6.24,5.67,5.50,6.81,1.63,19,P
7,임기준,52,0,52,10,2,2,0,6,36.2,14,17,15.15,162,32,5,0,1,16,4,0,24,4,0,2,3.44,4.17,3.72,3.77,4.19,1.31,19,P
8,차명진,9,6,3,1,3,1,0,0,33.0,16,17,15.80,151,35,9,0,1,18,2,0,19,1,0,3,4.36,4.64,4.31,4.31,4.61,1.61,19,P
9,터너,28,28,0,1,7,13,0,0,153.1,93,107,104.95,714,179,34,3,12,58,17,0,121,20,0,14,5.46,6.28,6.16,6.24,4.28,1.55,19,P
10,고영창,55,0,55,8,1,3,1,10,54.0,21,22,31.25,243,63,8,3,2,14,8,2,22,7,0,2,3.50,3.67,5.21,5.16,4.38,1.43,19,P
11,임기영,12,8,4,2,2,4,0,0,48.2,31,33,32.15,225,67,14,1,7,19,2,0,37,2,0,0,5.73,6.10,5.95,6.18,4.96,1.77,19,P
12,박진태,2,2,0,0,0,1,0,0,8.1,4,4,3.65,42,10,1,0,0,6,3,0,5,0,0,0,4.32,4.32,3.94,4.42,5.66,1.92,19,P
13,황인준,5,2,3,1,0,0,0,0,11.1,8,8,8.50,53,14,5,1,2,5,0,1,11,0,0,2,6.35,6.35,6.75,6.67,4.85,1.68,19,P
14,김윤동,11,0,11,8,1,2,4,0,11.0,8,8,6.50,55,12,1,1,1,11,0,2,12,0,0,1,6.55,6.55,5.32,4.97,4.70,2.09,19,P
15,홍건희,21,14,7,4,2,9,0,0,81.2,65,70,65.70,381,112,20,1,12,33,3,0,52,3,0,7,7.16,7.71,7.24,7.08,5.33,1.78,19,P
16,하준영,59,0,59,8,6,2,0,15,52.2,29,31,33.30,243,59,9,1,5,31,0,2,51,2,0,1,4.96,5.30,5.69,5.71,4.28,1.71,19,P
17,이민우,32,6,26,13,2,6,1,2,61.1,37,42,42.30,283,74,11,2,4,26,4,1,56,2,0,3,5.43,6.16,6.21,6.33,3.82,1.63,19,P
18,김승범,1,0,1,1,0,0,0,0,1.0,2,2,2.00,8,4,1,0,0,1,0,0,0,0,0,0,18.00,18.00,18.00,17.77,6.91,5.00,19,P
19,유승철,3,0,3,1,0,0,0,0,4.0,5,5,4.30,20,4,0,0,2,2,2,0,5,0,0,0,11.25,11.25,9.68,8.33,9.73,1.50,19,P
20,박정수,3,0,3,1,0,0,0,0,5.0,7,7,7.35,27,10,2,0,0,4,1,0,2,0,0,0,12.60,12.60,13.23,13.95,5.91,2.80,19,P
21,강이준,3,3,0,0,0,2,0,0,9.0,11,11,10.65,53,14,4,0,1,9,2,1,3,0,0,0,11.00,11.00,10.65,11.03,8.09,2.56,19,P
22,장지수,13,0,13,6,0,0,0,0,16.1,14,16,18.10,80,23,2,1,2,7,2,0,6,1,1,1,7.71,8.82,9.97,9.44,6.06,1.84,19,P
23,이준영,37,1,36,8,1,0,0,1,51.0,36,42,41.85,244,64,7,2,3,26,2,2,43,6,1,0,6.35,7.41,7.39,7.50,4.10,1.76,19,P
24,김세현,10,0,10,1,0,2,0,0,8.2,6,8,9.40,48,11,4,0,0,9,2,1,5,2,0,0,6.23,8.31,9.76,10.12,5.94,2.31,19,P
25,양승철,11,1,10,4,1,1,0,0,16.1,22,22,22.70,85,23,10,1,3,15,0,0,11,0,0,2,12.12,12.12,12.51,13.06,7.16,2.33,19,P
1,브룩스,23,23,0,1,11,4,0,0,151.1,42,43,42.15,586,131,18,0,4,24,3,0,130,8,1,3,2.50,2.56,2.51,2.56,2.72,1.02,20,P
2,양현종,31,31,0,0,11,10,0,0,172.1,90,99,92.85,746,180,40,4,13,64,5,0,149,6,0,7,4.70,5.17,4.85,4.74,3.97,1.42,20,P
3,가뇽,28,28,0,0,11,8,0,0,159.2,77,86,82.60,702,162,33,8,7,64,9,0,141,9,0,13,4.34,4.85,4.66,4.61,3.73,1.42,20,P
4,임기영,25,25,0,0,9,10,0,0,127.2,73,80,74.15,559,152,26,3,12,33,9,0,106,3,1,3,5.15,5.64,5.23,5.10,4.06,1.45,20,P
5,박준표,50,0,50,15,7,1,6,11,51.2,9,16,17.55,205,41,3,0,3,8,0,2,44,6,0,2,1.57,2.79,3.06,3.01,2.92,0.95,20,P
6,전상현,47,0,47,24,2,2,15,13,47.2,13,21,21.00,198,35,6,1,4,22,0,0,64,4,0,2,2.45,3.97,3.97,4.01,3.07,1.20,20,P
7,정해영,47,0,47,14,5,4,1,11,38.1,14,15,18.90,172,41,5,1,2,24,2,2,32,1,0,7,3.29,3.52,4.44,4.53,4.47,1.70,20,P
8,홍상삼,57,0,57,4,4,5,0,17,48.0,27,27,26.30,229,32,11,0,5,54,3,0,61,0,0,8,5.06,5.06,4.93,4.81,5.74,1.79,20,P
9,이민우,22,22,0,0,6,10,0,0,106.0,80,87,84.60,486,129,20,4,11,47,6,0,67,8,0,4,6.79,7.39,7.18,7.33,5.20,1.66,20,P
10,김기훈,22,7,15,6,0,4,0,1,52.0,31,35,36.05,238,58,11,1,8,31,2,0,39,3,0,3,5.37,6.06,6.24,6.39,5.92,1.71,20,P
11,문경찬,25,0,25,20,0,2,10,0,24.0,14,15,15.35,109,29,5,1,6,6,2,0,26,0,0,0,5.25,5.63,5.76,5.55,5.30,1.46,20,P
12,이준영,48,0,48,1,0,2,0,13,23.2,14,14,17.05,113,31,5,1,1,13,0,0,22,1,0,3,5.32,5.32,6.48,6.38,3.88,1.86,20,P
13,김현수,15,4,11,3,1,2,0,0,32.1,26,27,28.40,167,41,7,3,3,31,2,0,19,2,0,1,7.24,7.52,7.91,7.84,6.79,2.23,20,P
14,박정수,7,0,7,3,0,0,0,1,7.1,3,3,2.65,28,5,2,1,1,4,1,0,5,0,0,0,3.68,3.68,3.25,3.42,6.03,1.23,20,P
15,홍건희,10,0,10,7,0,0,0,0,12.0,8,8,8.15,48,11,2,2,3,2,0,0,9,0,0,0,6.00,6.00,6.11,5.99,5.61,1.08,20,P
16,황인준,3,0,3,2,0,0,0,0,4.0,2,2,2.50,18,6,1,0,1,2,0,0,1,0,0,0,4.50,4.50,5.63,5.41,7.90,2.00,20,P
17,황윤호,1,0,1,1,0,0,0,0,0.1,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4.00,0.00,20,3B
18,김재열,14,0,14,3,0,1,0,2,17.1,14,16,12.75,89,23,6,0,3,12,3,1,13,1,0,0,7.27,8.31,6.62,7.04,6.68,2.02,20,P
19,김승범,1,0,1,0,0,0,0,0,1.0,1,1,1.00,5,1,0,0,0,2,0,0,0,0,0,1,9.00,9.00,9.00,8.85,10.20,3.00,20,P
20,차명진,1,0,1,0,0,0,0,0,0.1,5,5,3.45,6,3,0,0,0,0,2,0,0,0,0,0,99.99,99.99,93.15,87.66,22.60,9.00,20,P
21,서덕원,11,0,11,8,0,0,0,0,12.2,12,12,12.00,59,14,2,0,5,4,3,0,6,0,0,1,8.53,8.53,8.53,8.32,9.22,1.42,20,P
22,남재현,8,0,8,5,0,0,0,0,15.2,7,12,14.25,79,20,5,1,1,11,1,0,8,3,0,0,4.02,6.89,8.19,7.83,5.85,1.98,20,P
23,변시원,4,0,4,0,1,0,0,0,5.0,2,4,5.55,25,8,1,0,0,3,0,0,1,1,0,0,3.60,7.20,9.99,9.55,5.36,2.20,20,P
24,김명찬,21,0,21,3,0,1,0,1,8.2,6,7,9.40,54,13,3,0,2,12,2,0,11,1,0,4,6.23,7.27,9.76,10.08,8.58,2.88,20,P
25,양승철,15,1,14,2,0,0,0,0,28.2,25,26,26.35,144,41,9,0,4,24,3,0,13,2,0,3,7.85,8.16,8.27,8.51,7.44,2.27,20,P
26,김현준,15,0,15,4,1,0,0,1,14.1,20,20,19.35,76,20,5,2,2,13,1,1,12,0,0,0,12.56,12.56,12.15,11.47,6.37,2.30,20,P
27,박진태,12,0,12,4,0,0,0,0,18.2,27,27,27.35,105,32,7,0,9,16,4,0,14,1,0,0,13.02,13.02,13.19,12.72,11.18,2.57,20,P
28,고영창,48,0,48,12,1,1,1,2,58.0,44,46,53.85,275,88,19,0,3,17,5,2,23,5,2,6,6.83,7.14,8.36,8.45,4.74,1.81,20,P
29,장현식,28,3,25,2,3,4,0,6,31.1,39,41,39.45,159,52,13,1,7,16,2,0,22,1,0,8,11.20,11.78,11.33,11.63,6.68,2.17,20,P
1,멩덴,21,21,0,0,8,3,0,0,120.0,48,53,51.95,502,109,18,2,12,35,8,0,104,7,3,2,3.60,3.97,3.90,3.95,3.90,1.20,21,P
2,임기영,28,28,0,0,8,8,0,0,153.0,83,85,78.95,662,155,29,1,15,45,11,0,129,7,2,6,4.88,5.00,4.64,4.54,3.96,1.31,21,P
3,이의리,19,19,0,0,4,5,0,0,94.2,38,42,41.00,404,69,11,0,6,56,2,0,93,6,0,5,3.61,3.99,3.90,3.79,3.96,1.32,21,P
4,정해영,64,0,64,58,5,4,34,0,65.1,16,18,22.80,272,49,10,0,5,28,4,1,49,2,0,1,2.20,2.48,3.14,3.10,4.27,1.18,21,P
5,장현식,69,0,69,5,1,5,1,34,76.2,28,28,29.40,336,67,7,1,7,42,3,1,80,3,0,8,3.29,3.29,3.45,3.48,4.06,1.42,21,P
6,브룩스,13,13,0,0,3,5,0,0,78.0,29,34,32.10,333,93,12,1,4,16,1,0,55,4,0,0,3.35,3.92,3.70,3.77,3.29,1.40,21,P
7,윤중현,30,13,17,6,5,6,0,2,82.2,36,44,42.60,373,91,7,1,7,31,14,0,33,10,0,2,3.92,4.79,4.64,4.76,5.46,1.48,21,P
8,다카하시,7,7,0,0,1,3,0,0,36.2,20,22,22.00,168,46,4,0,4,12,4,0,46,2,0,4,4.91,5.40,5.40,5.40,3.28,1.58,21,P
9,전상현,15,0,15,0,1,0,0,7,13.0,5,6,5.15,59,15,3,0,1,6,0,0,8,0,0,1,3.46,4.15,3.57,3.60,4.57,1.62,21,P
10,한승혁,8,5,3,2,0,3,0,0,23.2,12,15,14.50,103,25,5,1,0,10,2,0,17,4,0,2,4.56,5.70,5.51,5.53,3.54,1.48,21,P
11,김재열,24,0,24,10,1,0,0,0,32.2,14,18,19.55,152,28,4,0,4,18,4,0,18,5,2,1,3.86,4.96,5.39,5.45,5.93,1.41,21,P
12,장지수,9,0,9,5,0,0,0,0,14.1,5,6,6.00,67,9,2,0,1,13,3,0,5,1,0,1,3.14,3.77,3.77,3.78,7.19,1.53,21,P
13,장민기,21,0,21,7,2,1,0,2,23.1,9,11,14.75,114,13,3,1,1,29,4,0,22,1,0,2,3.47,4.24,5.69,5.51,6.30,1.80,21,P
14,박건우,3,0,3,2,0,0,0,0,3.0,0,0,0.00,11,2,0,0,0,1,1,0,3,0,0,0,0.00,0.00,0.00,0.00,3.33,1.00,21,P
15,김현준,19,0,19,7,0,1,0,2,19.2,12,13,11.80,83,15,1,0,4,12,0,0,19,0,0,0,5.49,5.95,5.40,5.19,5.66,1.37,21,P
16,박진태,59,0,59,10,3,3,0,9,65.0,43,44,44.90,305,68,10,0,6,36,13,0,45,3,0,5,5.95,6.09,6.22,6.12,5.47,1.60,21,P
17,이준영,50,1,49,4,3,2,1,9,35.2,22,25,24.70,159,30,5,0,3,19,0,1,26,5,0,3,5.55,6.31,6.23,6.47,4.51,1.37,21,P
18,최정용,1,0,1,1,0,0,0,0,0.1,0,0,1.55,2,1,0,1,0,0,0,0,0,0,0,0,0.00,0.00,41.85,44.31,3.77,3.00,21,2B
19,황윤호,1,0,1,1,0,0,0,0,0.2,0,1,1.70,4,2,0,0,0,0,0,0,0,0,0,0,0.00,13.50,22.95,21.79,3.77,3.00,21,3B
20,변시원,1,0,1,0,0,0,0,0,0.2,2,2,1.50,7,1,0,0,0,3,1,0,0,0,0,0,27.00,27.00,20.25,20.31,22.37,6.00,21,P
21,차명진,4,3,1,0,0,1,0,0,10.2,9,9,8.65,57,12,3,0,1,13,1,0,6,0,0,0,7.59,7.59,7.30,7.76,7.54,2.34,21,P
22,남재현,5,1,4,2,0,1,0,1,8.0,13,13,12.50,44,10,2,0,2,10,0,0,5,0,0,1,14.63,14.63,14.06,13.07,9.05,2.50,21,P
23,고영창,24,0,24,1,0,2,0,6,23.1,15,19,18.35,108,30,6,0,0,10,2,0,6,3,0,0,5.79,7.33,7.08,6.92,4.72,1.71,21,P
24,홍상삼,49,0,49,3,4,1,0,12,36.0,19,19,26.20,160,33,9,0,6,19,3,2,33,0,0,4,4.75,4.75,6.55,6.49,5.18,1.44,21,P
25,최용준,3,2,1,0,0,1,0,0,6.1,10,10,8.45,39,11,4,1,3,7,1,0,6,1,0,0,14.21,14.21,12.01,11.89,10.95,2.84,21,P
26,박준표,32,0,32,2,2,4,0,4,32.0,21,24,22.50,158,42,9,1,3,17,9,0,18,2,0,0,5.91,6.75,6.33,6.37,5.99,1.84,21,P
27,김유신,15,11,4,1,2,6,0,0,54.1,46,47,46.15,249,63,12,1,11,35,2,0,29,2,0,0,7.62,7.79,7.64,7.79,6.95,1.80,21,P
28,이승재,25,0,25,1,2,1,0,5,24.0,20,20,19.45,118,26,2,0,5,18,3,0,17,0,1,3,7.50,7.50,7.29,7.18,7.19,1.83,21,P
29,서덕원,24,0,24,8,1,0,0,1,32.2,27,28,29.05,148,36,8,1,7,14,0,0,24,2,0,5,7.44,7.71,8.00,7.84,5.81,1.53,21,P
30,김현수,17,8,9,7,1,4,0,0,45.2,40,43,42.55,229,57,16,0,8,36,3,0,27,1,0,1,7.88,8.47,8.39,8.33,7.02,2.04,21,P
31,이민우,16,12,4,1,1,6,0,0,57.0,51,53,51.25,275,78,12,3,8,31,5,0,28,3,1,2,8.05,8.37,8.09,8.28,6.17,1.91,21,P
1,놀린,21,21,0,0,8,8,0,0,124.0,34,41,40.00,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.90,2.96,3.05,1.12,22,P
