Rank,Name,G,GS,GR,GF,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Season,Position
24,이민우,1,1,0,0,0,1,0,0,4.0,7,7,7.00,24,10,1,0,0,3,2,0,1,0,0,0,15.75,15.75,15.75,14.68,7.03,3.25,22,P
25,김현준,12,0,12,7,0,1,0,0,14.2,9,14,15.00,72,19,7,0,0,5,2,2,9,3,0,0,5.52,8.59,9.20,9.50,3.31,1.64,22,P
26,남하준,11,0,11,6,1,1,0,1,10.1,10,11,12.00,55,18,4,0,4,6,1,0,6,0,0,1,8.71,9.58,10.45,10.56,9.04,2.32,22,P
27,박준표,34,0,34,6,1,0,0,8,23.1,14,15,16.55,112,27,4,0,4,10,8,3,11,1,0,0,5.40,5.79,6.38,6.62,6.64,1.59,22,P
28,김정빈,31,0,31,7,3,0,0,2,27.0,21,21,22.40,128,23,5,2,2,24,4,0,23,0,0,3,7.00,7.00,7.47,7.61,5.75,1.74,22,P
29,김재열,47,0,47,15,1,2,1,5,43.0,29,33,32.15,193,45,10,2,5,22,1,2,36,3,0,3,6.07,6.91,6.73,6.82,4.66,1.56,22,P
30,유승철,21,0,21,6,3,0,0,0,19.0,16,20,22.90,93,21,5,0,5,16,0,1,14,1,0,8,7.58,9.47,10.85,10.44,7.52,1.95,22,P
1,양현종,29,29,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.70,1.34,23,P
2,이의리,28,28,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,23,P
3,윤영철,25,24,1,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.40,23,P
4,파노니,16,15,1,0,6,3,0,0,82.1,39,41,36.90,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,4.03,4.06,3.65,1.32,23,P
5,임기영,64,0,64,9,4,4,3,16,82.0,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.40,3.48,3.93,0.91,23,P
6,전상현,64,0,64,8,8,3,1,13,58.2,14,20,21.25,250,50,8,0,1,26,1,4,50,4,0,3,2.15,3.07,3.26,3.28,3.30,1.30,23,P
7,앤더슨,14,14,0,0,4,7,0,0,79.0,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29,23,P
8,정해영,52,0,52,40,3,4,23,1,49.1,16,18,19.55,218,53,9,1,3,20,1,3,30,2,0,0,2.92,3.28,3.57,3.59,4.25,1.48,23,P
9,이준영,64,0,64,4,1,0,0,10,33.2,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.38,3.46,3.74,1.46,23,P
10,최지민,58,0,58,15,6,3,3,12,59.1,14,17,29.40,244,45,4,2,4,26,4,1,44,5,0,5,2.12,2.58,4.46,4.56,4.31,1.20,23,P
11,장현식,56,0,56,17,2,2,3,5,51.0,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.81,4.67,1.65,23,P
12,윤중현,31,0,31,10,2,1,0,0,28.0,12,13,13.20,115,29,3,0,2,10,1,1,8,2,0,0,3.86,4.18,4.24,4.38,5.09,1.39,23,P
13,김승현,10,0,10,5,0,0,0,0,12.2,6,6,6.00,57,11,2,0,1,10,1,0,7,1,0,1,4.26,4.26,4.26,4.41,6.10,1.66,23,P
14,산체스,12,11,1,1,4,4,0,0,63.2,42,46,43.60,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.50,6.16,6.10,3.77,1.48,23,P
15,김건국,6,5,1,1,0,1,0,0,16.0,12,12,11.15,70,18,6,1,0,4,1,0,9,0,0,0,6.75,6.75,6.27,6.69,3.41,1.38,23,P
16,유승철,1,0,1,1,0,0,0,0,1.0,0,0,0.00,4,0,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6.95,1.00,23,P
17,박준표,33,0,33,3,1,0,0,3,28.0,14,16,17.35,118,28,3,1,3,9,0,1,13,2,0,1,4.50,5.14,5.58,5.58,4.96,1.32,23,P
18,김대유,41,0,41,4,0,2,0,4,24.2,14,15,15.00,110,26,1,1,2,8,6,1,20,1,0,0,5.11,5.47,5.47,5.62,4.42,1.38,23,P
19,메디나,12,12,0,0,2,6,0,0,58.0,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,6.09,6.33,5.56,1.60,23,P
20,황동하,13,6,7,1,0,3,0,0,31.1,23,25,22.95,149,35,6,3,5,21,1,0,19,2,0,1,6.61,7.18,6.59,6.82,6.41,1.79,23,P
21,곽도규,14,0,14,2,0,0,0,0,11.2,11,11,11.00,61,14,2,0,0,10,2,0,14,0,0,1,8.49,8.49,8.49,8.64,4.04,2.06,23,P
22,김유신,27,0,27,9,0,1,0,2,30.1,19,19,22.60,141,34,8,0,2,19,3,0,12,1,0,0,5.64,5.64,6.71,6.70,5.89,1.75,23,P
23,김기훈,29,0,29,12,2,0,0,0,31.1,16,22,23.55,156,28,6,1,0,37,2,1,26,3,1,5,4.60,6.32,6.76,6.99,5.53,2.07,23,P
24,김재열,9,0,9,2,0,0,0,0,11.2,17,17,18.20,70,20,4,1,2,13,0,0,9,3,0,0,13.11,13.11,14.04,13.82,7.42,2.83,23,P
1,네일,4,4,0,0,3,0,0,0,24.2,3,4,4.00,99,24,4,0,1,0,2,0,30,1,0,0,1.09,1.46,1.46,1.44,1.84,0.97,24,P
2,양현종,4,4,0,0,1,1,0,0,22.2,10,10,9.50,101,20,7,0,2,10,2,0,16,2,0,1,3.97,3.97,3.77,3.71,5.07,1.32,24,P
3,전상현,12,0,12,1,2,1,0,6,11.0,3,3,2.65,40,8,1,0,0,0,0,0,6,0,0,0,2.45,2.45,2.17,2.31,2.78,0.73,24,P
4,윤영철,3,3,0,0,2,0,0,0,14.2,5,6,5.00,66,12,2,0,0,8,0,0,13,3,0,0,3.07,3.68,3.07,3.19,3.62,1.36,24,P
5,최지민,11,0,11,2,0,1,2,4,10.2,1,2,2.70,45,6,1,0,0,6,1,0,9,1,0,3,0.84,1.69,2.28,2.35,4.07,1.13,24,P
6,곽도규,12,0,12,0,0,0,0,4,9.0,0,1,1.00,37,6,1,0,0,5,0,0,15,0,0,2,0.00,1.00,1.00,1.07,1.70,1.22,24,P
7,장현식,11,0,11,0,0,0,0,4,10.1,1,3,2.80,44,8,3,0,1,5,0,0,15,2,0,1,0.87,2.61,2.44,2.52,3.17,1.26,24,P
8,정해영,9,0,9,9,0,1,8,0,9.0,3,3,3.00,39,10,0,0,2,2,0,0,10,0,0,0,3.00,3.00,3.00,2.90,4.70,1.33,24,P
9,크로우,4,4,0,0,3,1,0,0,21.0,9,12,11.50,89,19,4,0,2,8,0,1,21,1,0,0,3.86,5.14,4.93,5.29,3.81,1.29,24,P
10,이준영,7,0,7,1,1,0,0,1,3.1,0,0,0.85,12,0,0,0,0,0,1,0,3,1,0,0,0.00,0.00,2.30,2.36,2.83,0.00,24,P
11,이의리,3,3,0,0,1,0,0,0,10.1,5,7,7.00,55,13,3,0,1,11,0,0,14,1,0,0,4.35,6.10,6.10,6.27,5.21,2.32,24,P
12,임기영,2,0,2,0,1,0,0,0,1.1,0,0,0.50,7,0,0,0,0,3,0,0,2,0,0,0,0.00,0.00,3.38,3.60,7.37,2.25,24,P
13,김건국,4,1,3,0,0,0,0,0,7.2,6,7,5.95,33,9,3,0,1,2,0,0,4,0,0,1,7.04,8.22,6.98,7.10,5.20,1.43,24,P
14,김사윤,1,0,1,0,0,0,0,0,0.2,0,4,2.80,6,3,0,0,0,1,1,0,0,0,0,0,0.00,54.00,37.80,36.92,13.45,6.00,24,P
15,박준표,2,0,2,0,0,0,0,0,0.2,2,2,1.65,7,4,1,0,0,0,1,0,0,0,0,0,27.00,27.00,22.27,21.76,8.80,6.00,24,P
16,황동하,3,0,3,3,0,0,0,0,4.0,0,4,4.85,21,3,1,0,0,5,1,0,3,1,0,1,0.00,9.00,10.91,10.00,6.92,2.00,24,P
17,김대유,4,0,4,1,0,0,0,0,2.2,5,5,4.50,15,5,1,0,2,2,0,0,3,0,0,0,16.88,16.88,15.19,15.79,12.58,2.63,24,P
18,이형범,4,0,4,0,0,0,0,1,2.2,2,3,3.50,15,4,1,0,0,1,2,0,1,1,0,0,6.75,10.13,11.81,12.60,6.70,1.88,24,P
19,윤중현,5,0,5,2,0,0,0,0,2.1,5,6,8.25,19,5,1,0,1,6,1,1,1,1,0,0,19.29,23.14,31.82,32.61,16.15,4.71,24,P
