,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
477,20210708기한,기아,한화,,,우천취소,Away,20210708,목,26.4,38.6,1.2,84.8,대전 한화생명 이글스파크,대전,2021
478,20210709L두,LG,두산,,,우천취소,Away,20210709,금,25.5,0.0,1.9,77.3,서울 잠실 야구장,서울,2021
479,20210709한S,한화,SK,9.0,3.0,한화,Away,20210709,금,24.4,0.0,2.1,71.3,인천SSG 랜더스필드,인천,2021
480,20210709롯삼,롯데,삼성,9.0,5.0,롯데,Away,20210709,금,24.7,15.7,2.0,84.0,대구 삼성 라이온즈 파크,대구,2021
481,20210709K기,KT,기아,4.0,10.0,기아,Home,20210709,금,25.8,4.2,1.4,94.4,광주-기아 챔피언스 필드,광주,2021
482,20210709N키,NC,키움,,,우천취소,Away,20210709,금,25.5,0.0,1.9,77.3,서울고척스카이돔,서울,2021
483,20210710L두,LG,두산,,,우천취소,Away,20210710,토,25.9,0.5,2.4,80.4,서울 잠실 야구장,서울,2021
484,20210710한S,한화,SK,3.0,1.0,한화,Away,20210710,토,24.5,10.7,2.6,77.9,인천SSG 랜더스필드,인천,2021
485,20210710롯삼,롯데,삼성,2.0,3.0,삼성,Home,20210710,토,25.6,2.6,1.4,76.8,대구 삼성 라이온즈 파크,대구,2021
486,20210710K기,KT,기아,,,우천취소,Away,20210710,토,26.4,0.0,2.2,90.9,광주-기아 챔피언스 필드,광주,2021
487,20210710N키,NC,키움,,,우천취소,Away,20210710,토,25.9,0.5,2.4,80.4,서울고척스카이돔,서울,2021
488,20210711L두,LG,두산,,,우천취소,Away,20210711,일,25.7,0.4,2.2,86.8,서울 잠실 야구장,서울,2021
489,20210711한S,한화,SK,2.0,8.0,SK,Home,20210711,일,24.6,0.0,2.2,83.6,인천SSG 랜더스필드,인천,2021
490,20210711롯삼,롯데,삼성,0.0,11.0,삼성,Home,20210711,일,25.7,3.5,1.6,74.5,대구 삼성 라이온즈 파크,대구,2021
491,20210711K기,KT,기아,0.0,2.0,기아,Home,20210711,일,27.2,0.0,1.6,90.5,광주-기아 챔피언스 필드,광주,2021
492,20210711N키,NC,키움,,,우천취소,Away,20210711,일,25.7,0.4,2.2,86.8,서울고척스카이돔,서울,2021
493,20210713키L,키움,LG,,,우천취소,Away,20210713,화,28.8,0.0,1.7,76.1,서울 잠실 야구장,서울,2021
494,20210713두S,두산,SK,,,우천취소,Away,20210713,화,28.0,0.0,2.2,65.1,인천SSG 랜더스필드,인천,2021
495,20210713한롯,한화,롯데,,,우천취소,Away,20210713,화,27.0,0.0,4.2,85.9,부산 사직 야구장,부산,2021
496,20210713NK,NC,KT,,,우천취소,Away,20210713,화,28.8,0.0,1.4,79.3,수원케이티위즈파크,수원,2021
497,20210713삼기,삼성,기아,,,우천취소,Away,20210713,화,28.4,0.0,2.6,81.5,광주-기아 챔피언스 필드,광주,2021
498,20210714키L,키움,LG,,,우천취소,Away,20210714,수,29.7,0.0,2.2,71.4,서울 잠실 야구장,서울,2021
499,20210714두S,두산,SK,,,우천취소,Away,20210714,수,28.6,0.0,3.1,62.6,인천SSG 랜더스필드,인천,2021
500,20210714한롯,한화,롯데,,,우천취소,Away,20210714,수,27.5,0.0,3.8,84.6,부산 사직 야구장,부산,2021
501,20210714NK,NC,KT,,,우천취소,Away,20210714,수,29.3,0.0,2.0,77.0,수원케이티위즈파크,수원,2021
502,20210714삼기,삼성,기아,,,우천취소,Away,20210714,수,28.2,0.0,2.3,84.8,광주-기아 챔피언스 필드,광주,2021
503,20210715키L,키움,LG,,,우천취소,Away,20210715,목,29.1,0.0,2.1,71.1,서울 잠실 야구장,서울,2021
504,20210715두S,두산,SK,,,우천취소,Away,20210715,목,28.5,0.0,2.1,64.4,인천SSG 랜더스필드,인천,2021
505,20210715한롯,한화,롯데,,,우천취소,Away,20210715,목,27.3,0.0,2.7,83.0,부산 사직 야구장,부산,2021
506,20210715NK,NC,KT,,,우천취소,Away,20210715,목,28.7,0.0,1.6,78.6,수원케이티위즈파크,수원,2021
507,20210715삼기,삼성,기아,,,우천취소,Away,20210715,목,28.7,0.0,1.6,78.4,광주-기아 챔피언스 필드,광주,2021
508,20210716K두,KT,두산,,,우천취소,Away,20210716,금,28.8,0.0,2.2,68.4,서울 잠실 야구장,서울,2021
509,20210716S롯,SK,롯데,,,우천취소,Away,20210716,금,27.0,0.1,2.3,79.4,부산 사직 야구장,부산,2021
510,20210716키삼,키움,삼성,,,우천취소,Away,20210716,금,27.1,0.0,2.6,67.9,대구 삼성 라이온즈 파크,대구,2021
511,20210716L한,LG,한화,,,우천취소,Away,20210716,금,28.4,1.3,1.4,79.8,대전 한화생명 이글스파크,대전,2021
512,20210716기N,기아,NC,,,우천취소,Away,20210716,금,26.0,36.2,1.5,81.9,창원NC파크,창원,2021
513,20210717K두,KT,두산,,,우천취소,Away,20210717,토,29.1,0.0,2.3,63.1,서울 잠실 야구장,서울,2021
514,20210717S롯,SK,롯데,,,우천취소,Away,20210717,토,25.5,7.7,2.6,80.4,부산 사직 야구장,부산,2021
515,20210717키삼,키움,삼성,,,우천취소,Away,20210717,토,26.7,0.0,2.8,65.5,대구 삼성 라이온즈 파크,대구,2021
516,20210717기N,기아,NC,,,우천취소,Away,20210717,토,25.6,5.0,1.8,77.6,창원NC파크,창원,2021
517,20210717L한,LG,한화,,,우천취소,Away,20210717,토,27.1,0.0,2.2,81.1,대전 한화생명 이글스파크,대전,2021
518,20210718K두,KT,두산,,,우천취소,Away,20210718,일,29.6,0.0,2.1,62.5,서울 잠실 야구장,서울,2021
519,20210718S롯,SK,롯데,,,우천취소,Away,20210718,일,26.3,0.0,2.2,78.9,부산 사직 야구장,부산,2021
520,20210718키삼,키움,삼성,,,우천취소,Away,20210718,일,26.7,0.3,2.1,68.0,대구 삼성 라이온즈 파크,대구,2021
521,20210718기N,기아,NC,,,우천취소,Away,20210718,일,26.3,0.0,1.5,75.4,창원NC파크,창원,2021
522,20210718L한,LG,한화,,,우천취소,Away,20210718,일,27.3,16.5,1.5,79.1,대전 한화생명 이글스파크,대전,2021
523,20210810SL,SK,LG,0.0,4.0,LG,Home,20210810,화,27.7,0.0,2.3,62.5,서울 잠실 야구장,서울,2021
524,20210810두삼,두산,삼성,,,우천취소,Away,20210810,화,23.5,13.6,2.4,80.6,대구 삼성 라이온즈 파크,대구,2021
525,20210810롯N,롯데,NC,5.0,2.0,롯데,Away,20210810,화,26.3,1.9,2.1,77.4,창원NC파크,창원,2021
526,20210810한기,한화,기아,1.0,4.0,기아,Home,20210810,화,27.6,0.0,1.4,80.6,광주-기아 챔피언스 필드,광주,2021
527,20210810K키,KT,키움,1.0,3.0,키움,Home,20210810,화,27.7,0.0,2.3,62.5,서울고척스카이돔,서울,2021
528,20210811SL,SK,LG,5.0,12.0,LG,Home,20210811,수,27.4,0.0,2.0,70.3,서울 잠실 야구장,서울,2021
529,20210811두삼,두산,삼성,8.0,6.0,두산,Away,20210811,수,25.6,8.9,1.4,76.1,대구 삼성 라이온즈 파크,대구,2021
530,20210811롯N,롯데,NC,5.0,4.0,롯데,Away,20210811,수,25.4,0.0,1.5,80.3,창원NC파크,창원,2021
531,20210811한기,한화,기아,7.0,7.0,무승부,Away,20210811,수,26.5,0.0,1.7,83.1,광주-기아 챔피언스 필드,광주,2021
532,20210811K키,KT,키움,1.0,4.0,키움,Home,20210811,수,27.4,0.0,2.0,70.3,서울고척스카이돔,서울,2021
533,20210812SL,SK,LG,,,우천취소,Away,20210812,목,26.8,0.0,1.8,67.1,서울 잠실 야구장,서울,2021
534,20210812두삼,두산,삼성,2.0,9.0,삼성,Home,20210812,목,26.1,0.0,2.4,71.3,대구 삼성 라이온즈 파크,대구,2021
535,20210812롯N,롯데,NC,4.0,5.0,NC,Home,20210812,목,26.1,0.2,1.3,77.1,창원NC파크,창원,2021
536,20210812한기,한화,기아,,,우천취소,Away,20210812,목,26.3,0.6,1.0,84.8,광주-기아 챔피언스 필드,광주,2021
537,20210812K키,KT,키움,4.0,6.0,키움,Home,20210812,목,26.8,0.0,1.8,67.1,서울고척스카이돔,서울,2021
538,20210813롯L,롯데,LG,2.0,0.0,롯데,Away,20210813,금,26.6,0.0,2.0,70.4,서울 잠실 야구장,서울,2021
539,20210813기S,기아,SK,8.0,1.0,기아,Away,20210813,금,26.9,0.0,1.8,57.9,인천SSG 랜더스필드,인천,2021
540,20210813삼K,삼성,KT,6.0,7.0,KT,Home,20210813,금,27.1,0.0,1.4,75.4,수원케이티위즈파크,수원,2021
541,20210813두키,두산,키움,16.0,9.0,두산,Away,20210813,금,26.6,0.0,2.0,70.4,서울고척스카이돔,서울,2021
542,20210813N한,NC,한화,5.0,1.0,NC,Away,20210813,금,26.7,0.0,1.3,80.0,대전 한화생명 이글스파크,대전,2021
543,20210814롯L,롯데,LG,4.0,3.0,롯데,Away,20210814,토,26.1,0.0,3.0,63.9,서울 잠실 야구장,서울,2021
544,20210814기S,기아,SK,2.0,2.0,무승부,Away,20210814,토,26.5,0.0,3.0,52.1,인천SSG 랜더스필드,인천,2021
545,20210814삼K,삼성,KT,4.0,8.0,KT,Home,20210814,토,26.7,0.0,2.1,66.1,수원케이티위즈파크,수원,2021
546,20210814두키,두산,키움,1.0,5.0,키움,Home,20210814,토,26.1,0.0,3.0,63.9,서울고척스카이돔,서울,2021
547,20210814N한,NC,한화,9.0,9.0,무승부,Away,20210814,토,25.7,0.3,1.5,78.4,대전 한화생명 이글스파크,대전,2021
548,20210815롯L,롯데,LG,1.0,7.0,LG,Home,20210815,일,26.9,0.0,2.3,59.6,서울 잠실 야구장,서울,2021
549,20210815기S,기아,SK,5.0,10.0,SK,Home,20210815,일,26.9,0.0,2.4,54.1,인천SSG 랜더스필드,인천,2021
550,20210815삼K,삼성,KT,4.0,6.0,KT,Home,20210815,일,26.8,0.0,1.7,64.3,수원케이티위즈파크,수원,2021
551,20210815두키,두산,키움,1.0,8.0,키움,Home,20210815,일,26.9,0.0,2.3,59.6,서울고척스카이돔,서울,2021
552,20210815N한,NC,한화,3.0,3.0,무승부,Away,20210815,일,26.7,0.0,2.3,73.9,대전 한화생명 이글스파크,대전,2021
553,20210817기두,기아,두산,,,우천취소,Away,20210817,화,25.9,9.3,2.4,65.0,서울 잠실 야구장,서울,2021
554,20210817NS,NC,SK,,,우천취소,Away,20210817,화,24.8,27.6,2.6,63.9,인천SSG 랜더스필드,인천,2021
555,20210817키롯,키움,롯데,0.0,1.0,롯데,Home,20210817,화,22.8,42.8,3.2,87.3,부산 사직 야구장,부산,2021
556,20210817LK,LG,KT,5.0,5.0,무승부,Away,20210817,화,25.8,1.5,2.3,69.0,수원케이티위즈파크,수원,2021
557,20210817삼한,삼성,한화,2.0,4.0,한화,Home,20210817,화,25.5,0.1,1.5,72.3,대전 한화생명 이글스파크,대전,2021
558,20210818기두,기아,두산,7.0,3.0,기아,Away,20210818,수,24.3,5.6,2.8,69.6,서울 잠실 야구장,서울,2021
559,20210818NS,NC,SK,1.0,6.0,SK,Home,20210818,수,23.7,7.4,3.0,64.8,인천SSG 랜더스필드,인천,2021
560,20210818키롯,키움,롯데,0.0,3.0,롯데,Home,20210818,수,23.4,4.1,2.9,82.1,부산 사직 야구장,부산,2021
561,20210818LK,LG,KT,1.0,8.0,KT,Home,20210818,수,23.8,31.1,1.7,78.8,수원케이티위즈파크,수원,2021
562,20210818삼한,삼성,한화,6.0,2.0,삼성,Away,20210818,수,24.7,1.1,2.0,77.6,대전 한화생명 이글스파크,대전,2021
563,20210819기두,기아,두산,5.0,5.0,무승부,Away,20210819,목,26.0,0.0,2.6,57.1,서울 잠실 야구장,서울,2021
564,20210819NS,NC,SK,8.0,5.0,NC,Away,20210819,목,25.6,0.0,2.5,51.1,인천SSG 랜더스필드,인천,2021
565,20210819키롯,키움,롯데,,,우천취소,Away,20210819,목,24.6,0.0,2.4,78.3,부산 사직 야구장,부산,2021
566,20210819LK,LG,KT,1.0,0.0,LG,Away,20210819,목,25.9,0.0,2.3,62.3,수원케이티위즈파크,수원,2021
567,20210819삼한,삼성,한화,11.0,3.0,삼성,Away,20210819,목,24.3,3.2,1.4,83.9,대전 한화생명 이글스파크,대전,2021
568,20210820한두,한화,두산,1.0,9.0,두산,Home,20210820,금,26.6,0.0,2.3,63.6,서울 잠실 야구장,서울,2021
569,20210820K롯,KT,롯데,5.0,4.0,KT,Away,20210820,금,25.5,0.0,2.3,81.3,부산 사직 야구장,부산,2021
570,20210820S삼,SK,삼성,2.0,3.0,삼성,Home,20210820,금,25.0,0.0,1.8,67.6,대구 삼성 라이온즈 파크,대구,2021
571,20210820키기,키움,기아,2.0,3.0,기아,Home,20210820,금,24.8,0.0,1.4,84.0,광주-기아 챔피언스 필드,광주,2021
572,20210820LN,LG,NC,3.0,8.0,NC,Home,20210820,금,24.9,0.0,1.6,78.9,창원NC파크,창원,2021
573,20210821한두,한화,두산,3.0,1.0,한화,Away,20210821,토,23.8,62.8,2.7,88.1,서울 잠실 야구장,서울,2021
574,20210821K롯,KT,롯데,,,우천취소,Away,20210821,토,23.8,99.1,6.4,93.4,부산 사직 야구장,부산,2021
575,20210821S삼,SK,삼성,,,우천취소,Away,20210821,토,23.1,30.9,2.3,88.3,대구 삼성 라이온즈 파크,대구,2021
576,20210821LN,LG,NC,,,우천취소,Away,20210821,토,23.7,168.2,1.9,87.8,창원NC파크,창원,2021
577,20210821키기,키움,기아,,,우천취소,Away,20210821,토,24.5,19.9,2.3,98.0,광주-기아 챔피언스 필드,광주,2021
578,20210822한두,한화,두산,11.0,3.0,한화,Away,20210822,일,24.4,0.0,2.1,81.5,서울 잠실 야구장,서울,2021
579,20210822K롯,KT,롯데,3.0,1.0,KT,Away,20210822,일,26.1,0.0,4.3,83.9,부산 사직 야구장,부산,2021
580,20210822S삼,SK,삼성,4.0,4.0,무승부,Away,20210822,일,26.1,0.0,1.4,70.6,대구 삼성 라이온즈 파크,대구,2021
581,20210822LN,LG,NC,3.0,4.0,NC,Home,20210822,일,26.2,2.1,1.0,79.6,창원NC파크,창원,2021
582,20210822키기,키움,기아,6.0,1.0,키움,Away,20210822,일,25.8,0.0,1.2,89.5,광주-기아 챔피언스 필드,광주,2021
583,20210823한두,한화,두산,,,우천취소,Away,20210823,월,22.4,7.4,2.0,89.3,서울 잠실 야구장,서울,2021
584,20210823K롯,KT,롯데,2.0,6.0,롯데,Home,20210823,월,24.0,79.7,2.4,93.4,부산 사직 야구장,부산,2021
585,20210823S삼,SK,삼성,,,우천취소,Away,20210823,월,23.1,26.3,1.6,87.8,대구 삼성 라이온즈 파크,대구,2021
586,20210823LN,LG,NC,,,우천취소,Away,20210823,월,24.0,131.8,1.0,91.0,창원NC파크,창원,2021
587,20210823키기,키움,기아,,,우천취소,Away,20210823,월,24.1,30.6,1.2,98.8,광주-기아 챔피언스 필드,광주,2021
588,20210824한두,한화,두산,8.0,11.0,두산,Home,20210824,화,23.4,10.5,2.9,93.6,서울 잠실 야구장,서울,2021
589,20210824K롯,KT,롯데,,,우천취소,Away,20210824,화,25.5,36.1,7.7,93.1,부산 사직 야구장,부산,2021
590,20210824S삼,SK,삼성,8.0,9.0,삼성,Home,20210824,화,24.4,69.0,1.6,87.0,대구 삼성 라이온즈 파크,대구,2021
591,20210824LN,LG,NC,,,우천취소,Away,20210824,화,25.1,44.2,1.4,89.0,창원NC파크,창원,2021
592,20210824키기,키움,기아,8.0,2.0,키움,Away,20210824,화,25.2,29.6,2.6,98.8,광주-기아 챔피언스 필드,광주,2021
593,20210825삼L,삼성,LG,3.0,3.0,무승부,Away,20210825,수,25.0,0.3,1.8,85.5,서울 잠실 야구장,서울,2021
594,20210825두N,두산,NC,,,우천취소,Away,20210825,수,24.6,24.6,1.1,91.5,창원NC파크,창원,2021
595,20210825SK,SK,KT,1.0,7.0,KT,Home,20210825,수,24.3,1.8,1.6,95.1,수원케이티위즈파크,수원,2021
596,20210825롯기,롯데,기아,6.0,11.0,기아,Home,20210825,수,25.2,10.7,1.4,97.9,광주-기아 챔피언스 필드,광주,2021
597,20210825한키,한화,키움,7.0,2.0,한화,Away,20210825,수,25.0,0.3,1.8,85.5,서울고척스카이돔,서울,2021
598,20210826두N,두산,NC,7.0,0.0,두산,Away,20210826,목,26.4,0.0,1.1,79.8,창원NC파크,창원,2021
599,20210826두N,두산,NC,7.0,0.0,두산,Away,20210826,목,26.4,0.0,1.1,79.8,창원NC파크,창원,2021
600,20210826두N,두산,NC,5.0,3.0,두산,Away,20210826,목,26.4,0.0,1.1,79.8,창원NC파크,창원,2021
601,20210826두N,두산,NC,5.0,3.0,두산,Away,20210826,목,26.4,0.0,1.1,79.8,창원NC파크,창원,2021
602,20210826삼L,삼성,LG,3.0,4.0,LG,Home,20210826,목,25.5,0.7,2.5,84.9,서울 잠실 야구장,서울,2021
603,20210826SK,SK,KT,5.0,10.0,KT,Home,20210826,목,25.4,0.0,2.0,91.6,수원케이티위즈파크,수원,2021
604,20210826롯기,롯데,기아,3.0,3.0,무승부,Away,20210826,목,26.3,0.0,1.1,82.4,광주-기아 챔피언스 필드,광주,2021
605,20210826한키,한화,키움,4.0,4.0,무승부,Away,20210826,목,25.5,0.7,2.5,84.9,서울고척스카이돔,서울,2021
606,20210827삼L,삼성,LG,1.0,3.0,LG,Home,20210827,금,22.4,0.9,1.3,83.5,서울 잠실 야구장,서울,2021
607,20210827SK,SK,KT,4.0,6.0,KT,Home,20210827,금,22.3,3.5,1.0,94.6,수원케이티위즈파크,수원,2021
608,20210827롯기,롯데,기아,,,우천취소,Away,20210827,금,23.5,10.6,1.8,98.9,광주-기아 챔피언스 필드,광주,2021
609,20210827한키,한화,키움,3.0,4.0,키움,Home,20210827,금,22.4,0.9,1.3,83.5,서울고척스카이돔,서울,2021
610,20210827두N,두산,NC,2.0,4.0,NC,Home,20210827,금,25.9,0.6,1.5,82.1,창원NC파크,창원,2021
611,20210828키L,키움,LG,2.0,3.0,LG,Home,20210828,토,23.6,0.0,1.8,80.4,서울 잠실 야구장,서울,2021
612,20210828기S,기아,SK,4.0,12.0,SK,Home,20210828,토,23.4,0.0,2.2,74.0,인천SSG 랜더스필드,인천,2021
613,20210828두롯,두산,롯데,10.0,10.0,무승부,Away,20210828,토,26.7,6.3,3.2,82.5,부산 사직 야구장,부산,2021
614,20210828삼K,삼성,KT,6.0,5.0,삼성,Away,20210828,토,23.0,0.0,1.3,88.4,수원케이티위즈파크,수원,2021
615,20210828N한,NC,한화,1.0,9.0,한화,Home,20210828,토,22.8,0.0,0.6,90.0,대전 한화생명 이글스파크,대전,2021
616,20210829키L,키움,LG,2.0,11.0,LG,Home,20210829,일,23.7,0.9,1.6,82.6,서울 잠실 야구장,서울,2021
617,20210829기S,기아,SK,0.0,9.0,SK,Home,20210829,일,23.1,1.0,1.9,75.4,인천SSG 랜더스필드,인천,2021
618,20210829두롯,두산,롯데,2.0,4.0,롯데,Home,20210829,일,26.6,0.5,3.8,86.0,부산 사직 야구장,부산,2021
619,20210829삼K,삼성,KT,3.0,8.0,KT,Home,20210829,일,22.5,8.1,1.3,91.5,수원케이티위즈파크,수원,2021
620,20210829N한,NC,한화,2.0,3.0,한화,Home,20210829,일,22.4,28.3,0.9,92.5,대전 한화생명 이글스파크,대전,2021
621,20210831기두,기아,두산,,,우천취소,Away,20210831,화,20.5,77.4,2.3,93.3,서울 잠실 야구장,서울,2021
622,20210831NS,NC,SK,,,우천취소,Away,20210831,화,20.4,82.7,2.4,83.5,인천SSG 랜더스필드,인천,2021
623,20210831L롯,LG,롯데,9.0,4.0,LG,Away,20210831,화,26.0,0.1,1.7,84.5,부산 사직 야구장,부산,2021
624,20210831키삼,키움,삼성,2.0,3.0,삼성,Home,20210831,화,24.4,15.2,1.9,74.0,대구 삼성 라이온즈 파크,대구,2021
625,20210831K한,KT,한화,2.0,5.0,한화,Home,20210831,화,23.4,2.4,0.9,90.9,대전 한화생명 이글스파크,대전,2021
626,20210901기두,기아,두산,0.0,5.0,두산,Home,20210901,수,21.4,0.8,2.9,83.1,서울 잠실 야구장,서울,2021
627,20210901기두,기아,두산,0.0,5.0,두산,Home,20210901,수,21.4,0.8,2.9,83.1,서울 잠실 야구장,서울,2021
628,20210901NS,NC,SK,9.0,2.0,NC,Away,20210901,수,21.2,0.0,2.9,72.5,인천SSG 랜더스필드,인천,2021
629,20210901NS,NC,SK,9.0,2.0,NC,Away,20210901,수,21.2,0.0,2.9,72.5,인천SSG 랜더스필드,인천,2021
630,20210901키삼,키움,삼성,1.0,7.0,삼성,Home,20210901,수,21.9,40.7,2.4,90.8,대구 삼성 라이온즈 파크,대구,2021
631,20210901키삼,키움,삼성,1.0,7.0,삼성,Home,20210901,수,21.9,40.7,2.4,90.8,대구 삼성 라이온즈 파크,대구,2021
632,20210901기두,기아,두산,3.0,2.0,기아,Away,20210901,수,21.4,0.8,2.9,83.1,서울 잠실 야구장,서울,2021
633,20210901기두,기아,두산,3.0,2.0,기아,Away,20210901,수,21.4,0.8,2.9,83.1,서울 잠실 야구장,서울,2021
634,20210901NS,NC,SK,4.0,9.0,SK,Home,20210901,수,21.2,0.0,2.9,72.5,인천SSG 랜더스필드,인천,2021
635,20210901NS,NC,SK,4.0,9.0,SK,Home,20210901,수,21.2,0.0,2.9,72.5,인천SSG 랜더스필드,인천,2021
636,20210901키삼,키움,삼성,,,우천취소,Away,20210901,수,21.9,40.7,2.4,90.8,대구 삼성 라이온즈 파크,대구,2021
637,20210901키삼,키움,삼성,,,우천취소,Away,20210901,수,21.9,40.7,2.4,90.8,대구 삼성 라이온즈 파크,대구,2021
638,20210901L롯,LG,롯데,,,우천취소,Away,20210901,수,24.9,23.1,3.8,86.6,부산 사직 야구장,부산,2021
639,20210901K한,KT,한화,8.0,3.0,KT,Away,20210901,수,23.1,52.4,1.6,97.0,대전 한화생명 이글스파크,대전,2021
640,20210902NL,NC,LG,0.0,5.0,LG,Home,20210902,목,23.5,0.0,2.1,70.3,서울 잠실 야구장,서울,2021
641,20210902두S,두산,SK,1.0,10.0,SK,Home,20210902,목,23.2,1.0,2.6,63.6,인천SSG 랜더스필드,인천,2021
642,20210902한롯,한화,롯데,,,우천취소,Away,20210902,목,21.6,1.5,2.7,87.0,부산 사직 야구장,부산,2021
643,20210902삼기,삼성,기아,5.0,1.0,삼성,Away,20210902,목,21.6,3.4,0.9,98.4,광주-기아 챔피언스 필드,광주,2021
644,20210902K키,KT,키움,0.0,1.0,키움,Home,20210902,목,23.5,0.0,2.1,70.3,서울고척스카이돔,서울,2021
645,20210903한롯,한화,롯데,3.0,6.0,롯데,Home,20210903,금,22.1,0.8,3.2,81.0,부산 사직 야구장,부산,2021
646,20210903한롯,한화,롯데,3.0,6.0,롯데,Home,20210903,금,22.1,0.8,3.2,81.0,부산 사직 야구장,부산,2021
647,20210903한롯,한화,롯데,0.0,2.0,롯데,Home,20210903,금,22.1,0.8,3.2,81.0,부산 사직 야구장,부산,2021
648,20210903한롯,한화,롯데,0.0,2.0,롯데,Home,20210903,금,22.1,0.8,3.2,81.0,부산 사직 야구장,부산,2021
649,20210903NL,NC,LG,5.0,2.0,NC,Away,20210903,금,24.3,0.0,2.4,60.3,서울 잠실 야구장,서울,2021
650,20210903두S,두산,SK,1.0,3.0,SK,Home,20210903,금,24.3,0.0,2.4,54.3,인천SSG 랜더스필드,인천,2021
651,20210903삼기,삼성,기아,9.0,3.0,삼성,Away,20210903,금,22.4,1.3,1.5,94.1,광주-기아 챔피언스 필드,광주,2021
652,20210903K키,KT,키움,11.0,1.0,KT,Away,20210903,금,24.3,0.0,2.4,60.3,서울고척스카이돔,서울,2021
653,20210904KL,KT,LG,11.0,1.0,KT,Away,20210904,토,23.2,0.0,2.7,57.0,서울 잠실 야구장,서울,2021
654,20210904두삼,두산,삼성,4.0,11.0,삼성,Home,20210904,토,22.4,0.0,2.0,66.4,대구 삼성 라이온즈 파크,대구,2021
655,20210904롯N,롯데,NC,8.0,2.0,롯데,Away,20210904,토,22.3,1.1,1.1,75.4,창원NC파크,창원,2021
656,20210904S키,SK,키움,2.0,9.0,키움,Home,20210904,토,23.2,0.0,2.7,57.0,서울고척스카이돔,서울,2021
657,20210904기한,기아,한화,2.0,6.0,한화,Home,20210904,토,23.2,0.0,1.5,75.4,대전 한화생명 이글스파크,대전,2021
658,20210905KL,KT,LG,11.0,0.0,KT,Away,20210905,일,23.1,0.0,3.2,61.1,서울 잠실 야구장,서울,2021
659,20210905두삼,두산,삼성,6.0,5.0,두산,Away,20210905,일,21.8,0.4,1.7,68.5,대구 삼성 라이온즈 파크,대구,2021
660,20210905롯N,롯데,NC,3.0,9.0,NC,Home,20210905,일,22.3,0.1,1.1,71.3,창원NC파크,창원,2021
661,20210905S키,SK,키움,8.0,10.0,키움,Home,20210905,일,23.1,0.0,3.2,61.1,서울고척스카이돔,서울,2021
662,20210905기한,기아,한화,5.0,5.0,무승부,Away,20210905,일,21.7,0.3,1.4,85.4,대전 한화생명 이글스파크,대전,2021
663,20210907키두,키움,두산,,,우천취소,Away,20210907,화,19.6,29.6,2.3,98.1,서울 잠실 야구장,서울,2021
664,20210907LS,LG,SK,,,우천취소,Away,20210907,화,20.0,14.1,3.7,90.1,인천SSG 랜더스필드,인천,2021
665,20210907롯삼,롯데,삼성,4.0,2.0,롯데,Away,20210907,화,22.2,0.0,1.2,86.0,대구 삼성 라이온즈 파크,대구,2021
666,20210907한N,한화,NC,4.0,16.0,NC,Home,20210907,화,23.2,0.3,0.8,83.4,창원NC파크,창원,2021
667,20210907기K,기아,KT,,,우천취소,Away,20210907,화,20.6,17.8,2.3,99.8,수원케이티위즈파크,수원,2021
668,20210908키두,키움,두산,1.0,7.0,두산,Home,20210908,수,22.2,1.6,1.7,81.3,서울 잠실 야구장,서울,2021
669,20210908LS,LG,SK,3.0,5.0,SK,Home,20210908,수,22.2,0.0,2.5,70.1,인천SSG 랜더스필드,인천,2021
670,20210908롯삼,롯데,삼성,5.0,4.0,롯데,Away,20210908,수,23.7,0.0,1.7,68.8,대구 삼성 라이온즈 파크,대구,2021
671,20210908한N,한화,NC,3.0,1.0,한화,Away,20210908,수,23.8,0.0,1.0,74.0,창원NC파크,창원,2021
672,20210908기K,기아,KT,5.0,5.0,무승부,Away,20210908,수,21.9,0.4,1.9,86.1,수원케이티위즈파크,수원,2021
673,20210909한L,한화,LG,1.0,8.0,LG,Home,20210909,목,23.5,0.0,1.5,76.5,서울 잠실 야구장,서울,2021
674,20210909S롯,SK,롯데,9.0,2.0,SK,Away,20210909,목,24.2,0.0,1.8,76.1,부산 사직 야구장,부산,2021
675,20210909K삼,KT,삼성,7.0,8.0,삼성,Home,20210909,목,23.7,0.0,0.9,67.1,대구 삼성 라이온즈 파크,대구,2021
676,20210909두N,두산,NC,6.0,2.0,두산,Away,20210909,목,23.5,0.0,1.0,75.8,창원NC파크,창원,2021
677,20210909기키,기아,키움,3.0,5.0,키움,Home,20210909,목,23.5,0.0,1.5,76.5,서울고척스카이돔,서울,2021
678,20210910한L,한화,LG,0.0,2.0,LG,Home,20210910,금,23.6,0.0,1.9,76.0,서울 잠실 야구장,서울,2021
679,20210910S롯,SK,롯데,3.0,4.0,롯데,Home,20210910,금,22.8,0.3,1.8,77.8,부산 사직 야구장,부산,2021
680,20210910K삼,KT,삼성,2.0,2.0,무승부,Away,20210910,금,22.6,0.0,0.9,75.5,대구 삼성 라이온즈 파크,대구,2021
681,20210910기키,기아,키움,3.0,4.0,키움,Home,20210910,금,23.6,0.0,1.9,76.0,서울고척스카이돔,서울,2021
682,20210910두N,두산,NC,8.0,1.0,두산,Away,20210910,금,21.8,0.7,0.6,81.5,창원NC파크,창원,2021
