,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
46,20210414NS,NC,SK,3.0,0.0,NC,Away,20210414,수,8.0,0.0,4.0,53.5,인천SSG 랜더스필드,인천,2021
47,20210414한삼,한화,삼성,6.0,2.0,한화,Away,20210414,수,11.1,0.0,3.8,49.9,대구 삼성 라이온즈 파크,대구,2021
48,20210414롯기,롯데,기아,2.0,3.0,기아,Home,20210414,수,9.4,0.0,2.0,41.3,광주-기아 챔피언스 필드,광주,2021
49,20210414L키,LG,키움,13.0,2.0,LG,Away,20210414,수,8.4,0.0,2.9,58.5,서울고척스카이돔,서울,2021
50,20210415K두,KT,두산,8.0,3.0,KT,Away,20210415,목,11.6,0.0,2.1,62.3,서울 잠실 야구장,서울,2021
51,20210415NS,NC,SK,3.0,9.0,SK,Home,20210415,목,9.8,0.0,2.4,68.4,인천SSG 랜더스필드,인천,2021
52,20210415한삼,한화,삼성,0.0,4.0,삼성,Home,20210415,목,11.9,0.0,1.5,52.6,대구 삼성 라이온즈 파크,대구,2021
53,20210415롯기,롯데,기아,5.0,10.0,기아,Home,20210415,목,11.8,0.0,1.6,36.6,광주-기아 챔피언스 필드,광주,2021
54,20210415L키,LG,키움,6.0,4.0,LG,Away,20210415,목,11.6,0.0,2.1,62.3,서울고척스카이돔,서울,2021
55,20210416두L,두산,LG,0.0,1.0,LG,Home,20210416,금,11.3,0.7,2.6,60.0,서울 잠실 야구장,서울,2021
56,20210416기S,기아,SK,11.0,6.0,기아,Away,20210416,금,10.7,0.4,3.7,61.5,인천SSG 랜더스필드,인천,2021
57,20210416삼롯,삼성,롯데,3.0,9.0,롯데,Home,20210416,금,14.7,0.0,3.8,70.9,부산 사직 야구장,부산,2021
58,20210416키K,키움,KT,4.0,8.0,KT,Home,20210416,금,10.2,0.4,2.0,79.8,수원케이티위즈파크,수원,2021
59,20210416한N,한화,NC,1.0,9.0,NC,Home,20210416,금,13.7,0.0,1.4,64.6,창원NC파크,창원,2021
60,20210417기S,기아,SK,3.0,4.0,SK,Home,20210417,토,9.5,0.0,3.9,50.6,인천SSG 랜더스필드,인천,2021
61,20210417두L,두산,LG,3.0,1.0,두산,Away,20210417,토,9.6,0.0,2.6,56.6,서울 잠실 야구장,서울,2021
62,20210417삼롯,삼성,롯데,12.0,0.0,삼성,Away,20210417,토,15.1,0.0,3.9,46.4,부산 사직 야구장,부산,2021
63,20210417한N,한화,NC,4.0,14.0,NC,Home,20210417,토,13.7,0.0,1.7,46.1,창원NC파크,창원,2021
64,20210417키K,키움,KT,5.0,8.0,KT,Home,20210417,토,9.0,0.0,3.0,70.3,수원케이티위즈파크,수원,2021
65,20210418두L,두산,LG,9.0,1.0,두산,Away,20210418,일,9.9,0.0,3.2,64.3,서울 잠실 야구장,서울,2021
66,20210418기S,기아,SK,2.0,4.0,SK,Home,20210418,일,9.4,0.0,4.2,60.8,인천SSG 랜더스필드,인천,2021
67,20210418삼롯,삼성,롯데,7.0,0.0,삼성,Away,20210418,일,12.0,0.0,4.0,45.3,부산 사직 야구장,부산,2021
68,20210418한N,한화,NC,11.0,3.0,한화,Away,20210418,일,11.7,0.0,1.4,42.3,창원NC파크,창원,2021
69,20210418키K,키움,KT,2.0,10.0,KT,Home,20210418,일,9.3,0.0,3.0,70.8,수원케이티위즈파크,수원,2021
70,20210420기L,기아,LG,6.0,3.0,기아,Away,20210420,화,14.8,0.0,1.9,55.1,서울 잠실 야구장,서울,2021
71,20210420두롯,두산,롯데,5.0,10.0,롯데,Home,20210420,화,17.6,0.0,3.2,30.5,부산 사직 야구장,부산,2021
72,20210420S삼,SK,삼성,10.0,7.0,SK,Away,20210420,화,18.9,0.0,3.0,44.0,대구 삼성 라이온즈 파크,대구,2021
73,20210420KN,KT,NC,5.0,2.0,KT,Away,20210420,화,17.0,0.0,1.6,28.8,창원NC파크,창원,2021
74,20210420키한,키움,한화,3.0,7.0,한화,Home,20210420,화,15.8,0.0,1.2,53.0,대전 한화생명 이글스파크,대전,2021
75,20210421기L,기아,LG,3.0,7.0,LG,Home,20210421,수,19.1,0.0,1.8,43.1,서울 잠실 야구장,서울,2021
76,20210421두롯,두산,롯데,9.0,10.0,롯데,Home,20210421,수,18.6,0.0,1.6,44.3,부산 사직 야구장,부산,2021
77,20210421S삼,SK,삼성,4.0,14.0,삼성,Home,20210421,수,19.9,0.0,1.6,55.0,대구 삼성 라이온즈 파크,대구,2021
78,20210421KN,KT,NC,3.0,4.0,NC,Home,20210421,수,17.6,0.0,1.0,41.9,창원NC파크,창원,2021
79,20210421키한,키움,한화,3.0,4.0,한화,Home,20210421,수,19.6,0.0,1.0,43.5,대전 한화생명 이글스파크,대전,2021
80,20210422기L,기아,LG,3.0,2.0,기아,Away,20210422,목,20.9,0.0,2.5,37.9,서울 잠실 야구장,서울,2021
81,20210422두롯,두산,롯데,13.0,1.0,두산,Away,20210422,목,19.7,0.0,2.3,35.9,부산 사직 야구장,부산,2021
82,20210422S삼,SK,삼성,11.0,6.0,SK,Away,20210422,목,20.2,0.0,3.0,51.5,대구 삼성 라이온즈 파크,대구,2021
83,20210422KN,KT,NC,11.0,5.0,KT,Away,20210422,목,19.1,0.0,1.1,40.5,창원NC파크,창원,2021
84,20210422키한,키움,한화,8.0,3.0,키움,Away,20210422,목,21.8,0.0,2.1,35.4,대전 한화생명 이글스파크,대전,2021
85,20210423N두,NC,두산,1.0,5.0,두산,Home,20210423,금,19.0,0.0,3.2,41.4,서울 잠실 야구장,서울,2021
86,20210423롯K,롯데,KT,10.0,5.0,롯데,Away,20210423,금,20.1,0.0,3.3,36.4,수원케이티위즈파크,수원,2021
87,20210423삼기,삼성,기아,1.0,4.0,기아,Home,20210423,금,21.3,0.0,2.2,28.4,광주-기아 챔피언스 필드,광주,2021
88,20210423S키,SK,키움,9.0,5.0,SK,Away,20210423,금,19.0,0.0,3.2,41.4,서울고척스카이돔,서울,2021
89,20210423L한,LG,한화,2.0,1.0,LG,Away,20210423,금,19.0,0.1,3.4,34.9,대전 한화생명 이글스파크,대전,2021
90,20210424S키,SK,키움,5.0,4.0,SK,Away,20210424,토,18.3,0.0,2.7,43.0,서울고척스카이돔,서울,2021
91,20210424L한,LG,한화,5.0,19.0,한화,Home,20210424,토,17.9,0.0,1.7,39.3,대전 한화생명 이글스파크,대전,2021
92,20210424N두,NC,두산,6.0,9.0,두산,Home,20210424,토,18.3,0.0,2.7,43.0,서울 잠실 야구장,서울,2021
93,20210424롯K,롯데,KT,4.0,2.0,롯데,Away,20210424,토,17.4,0.0,2.3,49.1,수원케이티위즈파크,수원,2021
94,20210424삼기,삼성,기아,8.0,4.0,삼성,Away,20210424,토,19.1,0.0,1.2,33.5,광주-기아 챔피언스 필드,광주,2021
95,20210425N두,NC,두산,10.0,0.0,NC,Away,20210425,일,18.2,0.0,2.7,50.0,서울 잠실 야구장,서울,2021
96,20210425롯K,롯데,KT,5.0,6.0,KT,Home,20210425,일,17.3,0.0,1.7,60.3,수원케이티위즈파크,수원,2021
97,20210425삼기,삼성,기아,3.0,2.0,삼성,Away,20210425,일,17.8,0.0,1.3,51.1,광주-기아 챔피언스 필드,광주,2021
98,20210425S키,SK,키움,3.0,4.0,키움,Home,20210425,일,18.2,0.0,2.7,50.0,서울고척스카이돔,서울,2021
99,20210425L한,LG,한화,8.0,0.0,LG,Away,20210425,일,17.9,0.0,2.0,52.0,대전 한화생명 이글스파크,대전,2021
100,20210427롯L,롯데,LG,0.0,4.0,LG,Home,20210427,화,15.4,1.7,2.3,62.4,서울 잠실 야구장,서울,2021
101,20210427KS,KT,SK,14.0,5.0,KT,Away,20210427,화,13.7,5.1,2.5,66.8,인천SSG 랜더스필드,인천,2021
102,20210427N삼,NC,삼성,0.0,9.0,삼성,Home,20210427,화,15.8,0.0,1.5,58.5,대구 삼성 라이온즈 파크,대구,2021
103,20210427한기,한화,기아,3.0,4.0,기아,Home,20210427,화,16.6,0.0,1.4,53.8,광주-기아 챔피언스 필드,광주,2021
104,20210427두키,두산,키움,4.0,5.0,키움,Home,20210427,화,15.4,1.7,2.3,62.4,서울고척스카이돔,서울,2021
105,20210428롯L,롯데,LG,3.0,0.0,롯데,Away,20210428,수,14.5,4.7,2.4,64.1,서울 잠실 야구장,서울,2021
106,20210428KS,KT,SK,2.0,4.0,SK,Home,20210428,수,12.0,0.1,2.3,78.9,인천SSG 랜더스필드,인천,2021
107,20210428N삼,NC,삼성,3.0,4.0,삼성,Home,20210428,수,18.1,0.0,1.9,56.5,대구 삼성 라이온즈 파크,대구,2021
108,20210428한기,한화,기아,0.0,4.0,기아,Home,20210428,수,17.9,0.0,1.2,53.8,광주-기아 챔피언스 필드,광주,2021
109,20210428두키,두산,키움,4.0,5.0,키움,Home,20210428,수,14.5,4.7,2.4,64.1,서울고척스카이돔,서울,2021
110,20210429롯L,롯데,LG,2.0,3.0,LG,Home,20210429,목,14.6,3.9,2.3,54.1,서울 잠실 야구장,서울,2021
111,20210429KS,KT,SK,6.0,1.0,KT,Away,20210429,목,14.1,7.7,2.5,57.1,인천SSG 랜더스필드,인천,2021
112,20210429N삼,NC,삼성,9.0,0.0,NC,Away,20210429,목,18.3,0.0,2.5,52.6,대구 삼성 라이온즈 파크,대구,2021
113,20210429한기,한화,기아,2.0,3.0,기아,Home,20210429,목,17.4,1.8,2.0,47.5,광주-기아 챔피언스 필드,광주,2021
114,20210429두키,두산,키움,15.0,4.0,두산,Away,20210429,목,14.6,3.9,2.3,54.1,서울고척스카이돔,서울,2021
