Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
18,유민상,24,74,74,60,7,14,2,0,1,19,6,0,0,8,6,0,18,1,0,0,0.233,0.378,0.317,0.695,0.002,104.8,21,1B
19,강경학,13,13,13,11,2,2,0,0,0,2,1,0,0,1,1,0,3,0,0,0,0.182,0.308,0.182,0.490,-0.080,38.8,21,2B
20,이의리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,21,P
20,이준영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,21,P
20,장현식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,21,P
20,정해영,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,21,P
24,백용환,3,7,7,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.000,0.286,0.000,0.286,-0.118,7.6,21,C
25,김규성,54,41,41,36,8,5,1,0,0,6,2,0,1,5,0,0,17,0,0,0,0.139,0.244,0.167,0.411,-0.128,-0.9,21,2B
26,오정환,9,18,18,17,1,4,1,0,0,5,2,0,0,1,0,0,9,0,0,0,0.235,0.278,0.294,0.572,-0.069,47.5,21,2B
27,권혁경,5,18,18,18,1,4,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0.222,0.222,0.222,0.444,-0.131,-3.3,21,C
28,나주환,19,32,32,31,0,5,0,0,0,5,3,0,0,0,0,0,12,2,0,1,0.161,0.156,0.161,0.317,-0.182,-44.4,21,3B
29,김석환,5,20,20,19,1,5,0,0,1,8,3,0,0,0,1,0,7,0,0,0,0.263,0.300,0.421,0.721,-0.025,83.1,21,1B
30,박민,18,38,38,35,3,6,1,0,0,7,3,0,1,2,1,0,10,1,0,0,0.171,0.237,0.200,0.437,-0.122,4.3,21,SS
31,황윤호,6,19,19,17,2,3,0,0,0,3,0,0,0,1,1,0,3,1,0,0,0.176,0.263,0.176,0.439,-0.113,11.8,21,3B
32,오선우,9,16,16,15,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0.067,0.125,0.067,0.192,-0.228,-82.1,21,RF
33,황대인,86,308,307,282,30,67,10,1,13,118,45,0,0,18,2,0,62,8,1,5,0.238,0.283,0.418,0.701,-0.031,78.2,21,1B
34,나지완,31,102,102,81,3,13,1,0,0,14,7,0,0,14,6,0,29,3,0,1,0.160,0.324,0.173,0.497,-0.066,49.5,21,LF
1,나성범,144,649,643,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.320,0.402,0.508,0.910,0.068,160.8,22,RF
2,소크라테스,127,554,551,514,83,160,29,7,17,254,77,12,7,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.038,135.7,22,CF
3,박찬호,130,566,558,493,81,134,22,0,4,168,45,42,8,57,1,0,67,9,8,7,0.272,0.344,0.341,0.685,-0.005,98.7,22,SS
4,박동원,112,407,397,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,1,0.244,0.333,0.440,0.773,0.023,121.8,22,C
5,김선빈,140,587,579,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.350,0.723,0.010,111.7,22,2B
6,최형우,132,530,526,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.030,129.0,22,LF
7,이창진,111,404,393,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,0.301,0.374,0.402,0.776,0.027,125.5,22,LF
8,류지혁,127,477,469,405,55,111,19,2,2,140,48,8,4,56,6,0,83,6,8,2,0.274,0.369,0.346,0.715,0.009,110.2,22,3B
9,김도영,103,254,250,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,0.237,0.312,0.362,0.674,-0.017,88.9,22,3B
10,고종욱,62,114,113,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0,0.283,0.327,0.425,0.752,0.001,104.1,22,DH
11,한승택,66,119,115,102,11,18,2,0,1,23,12,0,0,9,3,0,30,2,4,1,0.176,0.261,0.225,0.486,-0.088,30.2,22,C
12,김민식,22,62,61,54,7,13,2,0,1,18,6,0,0,6,0,0,12,1,1,1,0.241,0.311,0.333,0.644,-0.025,82.0,22,C
13,김호령,54,88,84,77,21,21,1,1,1,27,8,2,1,7,0,0,22,4,4,0,0.273,0.333,0.351,0.684,-0.022,84.6,22,CF
14,이우성,80,137,133,120,23,35,7,0,1,45,12,1,3,12,1,0,20,5,4,0,0.292,0.361,0.375,0.736,0.023,122.1,22,RF
15,김선우,3,4,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.500,0.333,0.833,0.079,170.6,22,C
16,박정우,16,3,3,3,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,-0.031,76.9,22,CF
17,이의리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22,P
17,김재열,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22,P
17,박정우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22,1B
20,박민,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.305,-158.4,22,SS
21,나지완,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.271,-129.5,22,LF
22,권혁경,2,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.047,143.1,22,C
23,류승현,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.290,-145.5,22,1B
24,신범수,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.290,-145.5,22,C
25,임석진,10,17,17,14,4,1,0,0,1,4,1,0,0,2,1,0,9,1,0,0,0.071,0.235,0.286,0.521,-0.036,72.0,22,3B
26,이정훈,6,10,10,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.000,0.200,0.000,0.200,-0.161,-35.4,22,C
27,황대인,129,524,523,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,-0.016,89.1,22,1B
28,김태진,7,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.291,-146.2,22,3B
29,김규성,70,52,51,50,14,9,0,1,1,14,4,0,0,1,0,0,12,0,1,0,0.180,0.196,0.280,0.476,-0.098,20.9,22,2B
30,김석환,51,107,107,94,15,14,2,0,3,25,7,0,0,10,3,0,32,1,0,0,0.149,0.252,0.266,0.518,-0.076,38.2,22,LF
31,최정용,30,23,22,22,5,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0.091,0.091,0.091,0.182,-0.230,-85.6,22,2B
1,박찬호,130,507,500,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.006,109.2,23,SS
2,소크라테스,142,608,606,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.807,0.020,120.9,23,CF
3,최형우,121,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.400,0.487,0.887,0.057,152.4,23,DH
4,김도영,84,385,382,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.028,128.0,23,3B
5,나성범,58,253,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.123,208.2,23,RF
6,김선빈,119,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.320,0.381,0.358,0.739,0.012,114.1,23,2B
7,이우성,126,400,393,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.780,0.019,120.1,23,RF
8,이창진,104,284,282,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.270,0.362,0.389,0.751,0.021,122.2,23,LF
9,고종욱,114,286,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.722,0.003,106.5,23,LF
10,김호령,76,107,104,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.250,0.253,0.503,-0.091,29.3,23,CF
11,김규성,99,177,172,158,29,37,6,1,2,51,11,6,2,13,1,0,43,2,5,0,0.234,0.297,0.323,0.620,-0.031,78.3,23,2B
12,최원준,67,274,270,239,37,61,11,2,1,79,23,13,5,31,0,0,39,5,4,0,0.255,0.341,0.331,0.672,-0.002,102.0,23,1B
13,한준수,48,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,-0.034,75.7,23,C
14,김태군,65,203,198,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.290,0.578,-0.048,64.4,23,C
15,최정용,56,41,38,36,17,6,1,0,0,7,1,4,0,2,0,0,9,0,3,0,0.167,0.211,0.194,0.405,-0.090,32.9,23,2B
16,박정우,21,12,9,9,2,3,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0.333,0.333,0.333,0.666,-0.032,81.4,23,CF
17,홍종표,40,12,11,7,10,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0.000,0.364,0.000,0.364,-0.061,56.0,23,2B
18,김선우,5,7,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,-0.197,-62.9,23,C
19,박준표,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,P
19,김기훈,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,P
19,황동하,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,P
19,윤중현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,P
19,정해영,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23,P
24,윤도현,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.302,-152.3,23,2B
25,류지혁,66,253,250,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.660,-0.023,85.1,23,3B
26,황대인,60,199,198,174,19,37,4,0,5,56,26,0,0,18,4,2,50,6,0,3,0.213,0.296,0.322,0.618,-0.052,60.4,23,1B
27,오선우,33,31,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,0.179,0.258,0.393,0.651,-0.080,36.6,23,RF
28,변우혁,83,226,226,200,23,45,4,0,7,70,24,0,0,23,3,1,74,4,0,0,0.225,0.314,0.350,0.664,-0.028,80.0,23,1B
29,신범수,36,100,98,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.170,0.245,0.273,0.518,-0.085,33.2,23,C
30,주효상,19,36,34,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.181,-0.187,-45.7,23,C
31,김석환,12,26,25,23,1,3,1,0,0,4,3,0,0,2,0,0,9,1,1,0,0.130,0.200,0.174,0.374,-0.139,-9.7,23,1B
32,한승택,49,104,98,85,6,11,2,0,0,13,3,0,0,11,2,0,32,1,6,0,0.129,0.245,0.153,0.398,-0.099,24.9,23,C
1,최원준,18,70,70,60,9,21,5,1,2,34,11,6,4,10,0,0,7,1,0,0,0.350,0.443,0.567,1.010,0.103,171.3,24,CF
2,서건창,16,51,51,39,13,15,4,0,1,22,8,3,0,11,0,0,3,0,0,1,0.385,0.510,0.564,1.074,0.122,185.8,24,2B
3,박찬호,11,46,46,44,3,16,2,0,0,18,5,4,1,1,1,0,3,0,0,0,0.364,0.391,0.409,0.800,0.019,107.6,24,SS
4,김선빈,18,67,66,56,7,16,4,0,1,23,9,2,0,8,2,0,11,4,1,0,0.286,0.394,0.411,0.805,0.020,107.8,24,2B
5,한준수,12,35,35,30,6,12,4,0,0,16,6,0,0,2,1,0,4,0,0,2,0.400,0.429,0.533,0.962,0.073,148.7,24,C
6,김태군,13,37,37,33,4,9,1,0,2,16,6,0,0,3,1,0,3,1,0,0,0.273,0.351,0.485,0.836,0.029,115.1,24,C
7,김도영,19,88,87,82,10,23,2,1,5,42,12,7,0,3,1,0,18,0,1,1,0.280,0.310,0.512,0.822,0.022,109.2,24,3B
8,최형우,19,82,82,71,12,17,5,0,3,31,13,0,0,10,0,1,14,0,0,1,0.239,0.329,0.437,0.766,0.031,116.8,24,DH
9,홍종표,5,20,19,16,2,5,0,1,0,7,3,0,1,2,1,0,4,0,1,0,0.313,0.421,0.438,0.859,0.039,121.0,24,2B
10,김호령,18,18,18,15,3,2,0,0,1,5,2,1,0,3,0,0,7,0,0,0,0.133,0.278,0.333,0.611,-0.059,47.8,24,CF
11,이우성,19,79,79,71,17,25,4,0,2,35,8,1,0,8,0,0,13,5,0,0,0.352,0.418,0.493,0.911,0.051,131.3,24,RF
12,고종욱,12,17,17,16,3,6,2,0,1,11,4,0,0,1,0,0,3,1,0,0,0.375,0.412,0.688,1.100,0.115,180.0,24,LF
13,박민,7,13,13,13,2,4,2,0,0,6,1,0,0,0,0,0,4,0,0,0,0.308,0.308,0.462,0.770,-0.002,91.7,24,SS
14,최지민,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,24,P
14,전상현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,24,P
14,곽도규,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,24,P
17,김규성,6,4,4,2,1,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0.500,0.750,1.000,1.750,0.321,336.7,24,2B
18,황대인,3,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,-0.023,75.7,24,1B
19,한승택,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.031,116.1,24,C
20,이창진,15,38,36,27,5,6,0,0,0,6,2,0,1,9,0,0,8,1,2,0,0.222,0.417,0.222,0.639,-0.007,88.0,24,LF
21,소크라테스,19,83,83,78,9,18,5,0,1,26,8,2,0,5,0,0,11,2,0,0,0.231,0.277,0.333,0.610,-0.049,55.4,24,LF
