Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
45,김민식,135,391,384,351,39,78,9,2,4,103,40,3,3,26,5,0,55,7,7,2,0.222,0.284,0.293,0.577,-0.081,43.6,17,C
46,김주형,57,116,116,106,11,18,5,0,0,23,10,0,0,8,1,0,13,5,0,1,0.170,0.233,0.217,0.450,-0.120,13.1,17,3B
1,안치홍,130,549,548,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,0.342,0.392,0.563,0.955,0.045,133.8,18,2B
2,최형우,143,609,604,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.053,138.9,18,LF
3,이명기,120,502,489,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,-0.013,92.7,18,RF
4,나지완,114,379,378,317,50,86,18,0,26,182,78,0,0,38,19,2,81,14,0,5,0.271,0.377,0.574,0.951,0.040,130.1,18,DH
5,버나디나,131,590,584,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,0.310,0.395,0.487,0.882,0.026,120.4,18,CF
6,김민식,125,365,354,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,0.245,0.333,0.352,0.685,-0.031,80.1,18,C
7,김주찬,121,471,466,429,71,146,23,0,18,223,93,8,1,23,7,5,57,15,2,10,0.340,0.375,0.520,0.895,0.025,119.1,18,1B
8,김선빈,127,492,486,424,73,125,17,2,4,158,49,4,1,48,9,1,42,10,6,5,0.295,0.374,0.373,0.747,-0.012,93.5,18,SS
9,이범호,101,380,378,332,41,93,7,0,20,160,69,1,0,42,4,4,59,12,0,2,0.280,0.366,0.482,0.848,0.013,110.8,18,3B
10,한승택,61,101,98,89,10,22,6,0,3,37,15,0,0,7,2,0,24,4,3,0,0.247,0.316,0.416,0.732,-0.034,78.6,18,C
11,정성훈,88,205,204,183,22,54,11,0,4,77,28,0,1,16,5,1,49,5,0,1,0.295,0.366,0.421,0.787,-0.007,97.2,18,1B
12,유재신,46,40,40,33,19,14,3,1,1,22,8,4,0,7,0,0,10,0,0,0,0.424,0.525,0.667,1.192,0.130,194.2,18,LF
13,박준태,85,150,145,123,32,28,5,1,5,50,24,0,2,13,9,0,37,1,5,0,0.228,0.345,0.407,0.752,-0.018,89.5,18,CF
14,백용환,34,57,56,47,7,13,1,0,0,14,4,0,1,9,0,0,15,3,1,0,0.277,0.393,0.298,0.691,-0.014,92.2,18,C
15,서동욱,32,56,56,49,3,10,3,0,0,13,2,0,0,5,1,0,15,1,0,1,0.204,0.286,0.265,0.551,-0.095,34.0,18,1B
16,최원준,101,331,327,302,46,82,14,1,4,110,32,10,4,20,4,0,58,4,4,1,0.272,0.324,0.364,0.688,-0.042,72.3,18,SS
17,유민상,31,58,58,48,9,13,2,1,3,26,14,0,0,8,0,0,14,3,0,2,0.271,0.362,0.542,0.904,0.008,107.6,18,DH
18,이창진,1,3,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,-0.066,54.8,18,LF
19,류승현,35,85,84,75,9,23,3,1,1,31,13,0,0,7,1,0,12,2,1,1,0.307,0.369,0.413,0.782,-0.003,99.5,18,2B
20,김지성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,3B
21,김세현,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,한승혁,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,문경찬,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,임창용,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,임기준,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,팻딘,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,임기영,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,하준영,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,윤석민,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,김유신,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,홍건희,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,심동섭,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,김윤동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
21,이민우,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,P
35,이영욱,14,16,16,16,0,2,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0.125,0.125,0.125,0.250,-0.245,-72.5,18,CF
36,헥터,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.341,-140.6,18,P
37,유승철,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.341,-140.6,18,P
38,김석환,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.330,-133.1,18,1B
39,이인행,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.363,-156.3,18,OF
40,황인준,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.348,-145.8,18,P
41,김주형,6,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.125,0.125,0.125,0.250,-0.240,-69.2,18,3B
42,최정민,57,95,91,83,17,21,2,0,2,29,6,1,3,7,1,0,20,2,4,0,0.253,0.319,0.349,0.668,-0.044,71.6,18,2B
43,오준혁,10,19,19,17,1,2,0,0,0,2,0,0,0,1,1,0,3,1,0,0,0.118,0.211,0.118,0.329,-0.180,-26.0,18,LF
44,황윤호,82,62,60,57,11,9,1,0,0,10,4,2,2,0,3,0,6,2,2,0,0.158,0.200,0.175,0.375,-0.132,10.7,18,SS
45,신범수,19,26,26,25,0,4,2,1,0,8,4,0,0,0,0,0,7,1,0,1,0.160,0.154,0.320,0.474,-0.161,-12.5,18,C
46,홍재호,56,87,84,76,16,20,6,0,1,29,9,0,0,8,0,0,12,2,3,0,0.263,0.333,0.382,0.715,-0.043,72.5,18,2B
1,최형우,136,555,550,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.300,0.413,0.485,0.898,0.054,149.1,19,LF
2,김선빈,121,447,442,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.360,0.371,0.731,0.015,116.2,19,SS
3,이창진,133,470,466,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,0.270,0.363,0.383,0.746,0.004,106.9,19,CF
4,안치홍,105,408,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,0.315,0.380,0.412,0.792,0.021,121.3,19,2B
5,이명기,80,302,298,265,37,75,10,2,1,92,21,4,3,28,4,1,41,4,3,2,0.283,0.358,0.347,0.705,-0.005,99.2,19,RF
6,터커,95,399,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,0.311,0.381,0.479,0.860,0.039,137.2,19,RF
7,박찬호,133,541,536,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.260,0.300,0.317,0.617,-0.049,62.5,19,3B
8,유민상,61,202,202,175,23,51,15,0,5,81,26,0,0,24,3,0,35,6,0,0,0.291,0.386,0.463,0.849,0.035,133.5,19,1B
9,황윤호,57,130,129,123,9,37,5,2,1,49,9,2,2,5,0,0,12,2,1,1,0.301,0.326,0.398,0.724,0.001,105.0,19,2B
10,백용환,28,51,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,0.234,0.294,0.404,0.698,-0.011,94.7,19,C
11,한승택,105,288,281,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,0.223,0.299,0.303,0.602,-0.054,58.7,19,C
12,한준수,7,20,20,20,2,6,2,0,0,8,2,0,0,0,0,0,2,2,0,0,0.300,0.300,0.400,0.700,0.082,173.3,19,C
13,김주찬,100,363,360,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.300,0.340,0.374,0.714,-0.010,95.2,19,1B
14,신범수,39,65,65,57,4,12,5,0,2,23,7,0,0,7,1,0,14,1,0,0,0.211,0.308,0.404,0.712,-0.015,90.8,19,C
15,해즐베이커,11,46,46,41,5,6,2,0,2,14,5,1,1,4,1,0,18,0,0,0,0.146,0.239,0.341,0.580,-0.066,47.3,19,CF
16,최정용,8,21,21,21,4,6,0,0,0,6,1,0,0,0,0,0,10,0,0,0,0.286,0.286,0.286,0.572,-0.073,42.1,19,2B
17,홍재호,10,20,20,19,2,4,0,0,0,4,0,0,0,1,0,0,5,1,0,0,0.211,0.250,0.211,0.461,-0.108,12.3,19,2B
18,윤해진,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.022,85.0,19,3B
19,이범호,19,31,31,26,1,6,1,0,1,10,5,0,0,3,0,0,3,1,0,2,0.231,0.290,0.385,0.675,-0.047,63.6,19,3B
20,장지수,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,이민우,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,전상현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,김세현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,임기준,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,터너,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,양승철,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
20,고영창,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,19,P
28,문경찬,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.299,-150.1,19,P
29,이인행,9,20,19,16,1,3,1,0,0,4,2,0,0,2,1,0,6,1,1,0,0.188,0.316,0.250,0.566,-0.052,61.4,19,RF
30,이진영,11,15,15,15,1,2,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0.133,0.133,0.133,0.266,-0.139,-13.9,19,RF
31,최정민,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.306,-156.5,19,2B
32,유재신,71,59,58,51,17,13,2,1,0,17,6,4,3,6,0,0,12,1,1,1,0.255,0.328,0.333,0.661,-0.029,79.7,19,LF
