Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
50,백용환,-0.20,-0.19,0.00,-0.07,-0.02,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,17,C
1,양현종,5.84,0.00,0.00,0.00,0.00,0.00,0.00,2.82,,3.09,,5.84,,18,P
2,안치홍,5.01,2.37,0.08,0.05,-0.21,0.21,0.23,0.00,0.00,0.00,0.00,0.00,0.00,18,2B
3,최형우,4.10,3.00,0.11,-0.01,-0.88,0.23,-0.69,0.00,0.00,0.00,0.00,0.00,0.00,18,LF
4,헥터,3.56,-0.03,0.00,0.00,0.00,0.00,0.00,0.73,0.00,2.78,0.00,3.58,0.00,18,P
5,이명기,2.83,-0.47,-0.01,0.05,1.27,0.19,-0.43,0.00,0.00,0.00,0.00,0.00,0.00,18,RF
6,나지완,2.65,1.46,0.03,0.03,0.25,0.14,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,18,DH
7,버나디나,2.48,1.51,-0.15,0.04,-1.56,0.22,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,CF
8,김민식,1.97,-0.91,0.01,0.01,0.56,0.14,0.78,0.00,0.00,0.00,0.00,0.00,0.00,18,C
9,김윤동,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.68,0.00,1.95,18,P
10,김주찬,1.85,1.13,0.14,-0.02,-0.47,0.18,-0.74,0.00,0.00,0.00,0.00,0.00,0.00,18,1B
11,김선빈,1.85,-0.40,0.07,0.07,-0.84,0.19,0.88,0.00,0.00,0.00,0.00,0.00,0.00,18,SS
12,이범호,1.56,0.53,0.04,-0.02,-0.35,0.14,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,3B
13,팻딘,1.53,0.00,0.00,0.00,0.00,0.00,0.00,-0.97,0.56,1.61,0.17,0.79,0.74,18,P
14,한승혁,1.39,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.08,1.29,0.04,1.26,0.12,18,P
15,임창용,1.27,0.00,0.00,0.00,0.00,0.00,0.00,-0.43,0.51,0.92,0.21,0.54,0.72,18,P
16,임기영,1.21,0.00,0.00,0.00,0.00,0.00,0.00,-0.86,0.47,1.35,0.11,0.62,0.59,18,P
17,임기준,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.46,0.00,1.19,18,P
18,한승택,0.79,-0.28,0.01,-0.10,0.64,0.04,0.21,0.00,0.00,0.00,0.00,0.00,0.00,18,C
19,문경찬,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.44,0.00,0.67,18,P
20,정성훈,0.64,-0.07,-0.02,0.03,-0.14,0.08,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,18,1B
21,유재신,0.63,0.53,0.05,-0.08,-0.09,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,18,LF
22,박준태,0.60,-0.20,-0.01,0.07,0.05,0.06,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,18,CF
23,유승철,0.52,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.38,0.00,0.54,18,P
24,황인준,0.41,-0.09,0.00,-0.04,0.00,0.00,0.01,0.01,0.04,0.08,0.37,0.09,0.43,18,P
25,백용환,0.21,-0.06,-0.03,-0.05,0.05,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.00,18,C
26,서동욱,0.19,-0.47,0.01,0.00,0.39,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,1B
27,최원준,0.18,-1.16,-0.04,0.04,-0.38,0.13,0.11,0.00,0.00,0.00,0.00,0.00,0.00,18,SS
28,유민상,0.16,0.06,0.00,-0.06,-0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,DH
29,박준표,0.15,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,,0.02,,0.15,18,P
30,정용운,0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,,0.15,,0.14,,18,P
31,전상현,0.08,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.07,0.04,0.03,0.04,18,P
