Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
16,이창진,0.66,-1.36,0.08,-0.01,0.82,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21,CF
17,김태진,0.50,-1.22,-0.06,0.04,-0.16,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,21,3B
18,이우성,0.49,-0.25,0.00,0.04,0.35,0.04,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,21,RF
19,다카하시,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,,0.59,,0.49,,21,P
20,전상현,0.37,0.00,0.00,0.00,0.00,0.00,0.00,,0.27,,0.11,,0.37,21,P
21,터커,0.35,-0.78,0.01,-0.09,-0.50,0.22,-0.65,0.00,0.00,0.00,0.00,0.00,0.00,21,LF
22,한승혁,0.29,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.05,0.32,0.03,0.20,0.08,21,P
23,이진영,0.29,-0.09,0.02,0.02,0.09,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,21,RF
24,김재열,0.25,0.00,0.00,0.00,0.00,0.00,0.00,,-0.01,,0.25,,0.25,21,P
25,장지수,0.25,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,,0.12,,0.25,21,P
26,박정우,0.19,-0.24,-0.07,0.03,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21,CF
27,최정민,0.19,0.08,-0.10,0.09,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21,CF
28,장민기,0.15,0.00,0.00,0.00,0.00,0.00,0.00,,-0.04,,0.18,,0.15,21,P
29,박건우,0.13,0.00,0.00,0.00,0.00,0.00,0.00,,0.11,,0.03,,0.13,21,P
30,김현준,0.12,0.00,0.00,0.00,0.00,0.00,0.00,,-0.04,,0.15,,0.12,21,P
31,이정훈,0.05,-0.11,0.00,-0.12,-0.18,0.06,-0.20,0.00,0.00,0.00,0.00,0.00,0.00,21,C
32,유민상,0.04,0.04,0.00,-0.06,-0.19,0.03,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,21,1B
33,최정용,0.03,-0.50,0.03,-0.13,0.20,0.03,0.15,0.00,-0.01,0.00,0.00,0.00,-0.01,21,2B
34,강경학,0.02,-0.10,0.00,0.00,0.03,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,21,2B
35,박진태,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-0.52,,0.46,,0.00,21,P
36,이준영,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,-0.16,0.02,0.24,-0.12,0.11,21,P
37,변시원,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,,-0.03,,0.00,,-0.02,21,P
38,백용환,-0.03,-0.05,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,21,C
39,차명진,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,0.02,0.13,0.01,-0.10,0.03,21,P
40,김규성,-0.08,-0.55,-0.04,-0.02,0.25,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,21,2B
41,남재현,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.26,0.04,0.02,0.10,-0.22,21,P
42,고영창,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,,-0.31,,0.16,,-0.13,21,P
43,홍상삼,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,,-0.42,,0.25,,-0.13,21,P
44,최용준,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-0.04,0.06,0.00,-0.09,-0.03,21,P
45,박준표,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,,-0.42,,0.22,,-0.17,21,P
46,오정환,-0.21,-0.12,0.00,0.01,-0.22,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,21,2B
47,권혁경,-0.26,-0.23,0.00,-0.04,-0.02,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,21,C
48,나주환,-0.26,-0.52,0.00,-0.03,0.18,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,21,3B
49,김석환,-0.27,-0.04,0.00,0.00,-0.28,0.01,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,21,1B
50,김유신,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,-1.01,-0.15,0.67,0.03,-0.16,-0.12,21,P
1,나성범,7.80,4.70,0.06,0.04,0.39,0.28,-0.71,0.00,0.00,0.00,0.00,0.00,0.00,22,RF
2,소크라테스,4.54,2.34,-0.11,0.08,-0.11,0.24,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,22,CF
3,놀린,4.31,0.00,0.00,0.00,0.00,0.00,0.00,2.24,,2.23,,4.31,,22,P
4,박찬호,4.10,-0.09,0.28,0.05,0.32,0.24,1.10,0.00,0.00,0.00,0.00,0.00,0.00,22,SS
5,박동원,4.00,1.06,0.02,-0.03,0.25,0.17,0.92,0.00,0.00,0.00,0.00,0.00,0.00,22,C
6,김선빈,3.35,0.82,0.12,-0.11,-0.48,0.25,0.56,0.00,0.00,0.00,0.00,0.00,0.00,22,2B
7,최형우,3.30,1.80,0.02,-0.02,0.18,0.23,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,22,LF
8,양현종,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.14,,2.93,,3.07,,22,P
9,파노니,2.63,0.00,0.00,0.00,0.00,0.00,0.00,1.25,,1.47,,2.63,,22,P
10,임기영,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.14,2.11,0.03,2.34,0.17,22,P
11,이창진,2.47,1.26,-0.14,0.00,-0.13,0.17,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,22,LF
12,이의리,2.32,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.14,2.52,0.01,2.45,-0.13,22,P
13,류지혁,2.19,0.58,-0.02,0.05,-0.50,0.20,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,22,3B
14,김도영,2.17,-0.34,0.11,-0.08,1.10,0.11,0.19,0.00,0.00,0.00,0.00,0.00,0.00,22,3B
15,이준영,1.22,0.00,0.00,0.00,0.00,0.00,0.00,,0.88,,0.37,,1.22,22,P
16,정해영,1.17,0.00,0.00,0.00,0.00,0.00,0.00,,0.75,,0.43,,1.17,22,P
17,전상현,0.96,0.00,0.00,0.00,0.00,0.00,0.00,,0.62,,0.36,,0.96,22,P
18,장현식,0.76,0.00,0.00,0.00,0.00,0.00,0.00,,0.37,,0.40,,0.76,22,P
19,김기훈,0.52,0.00,0.00,0.00,0.00,0.00,0.00,,0.46,,0.08,,0.52,22,P
20,고종욱,0.46,0.06,0.01,0.01,-0.20,0.05,0.06,0.00,0.00,0.00,0.00,0.00,0.00,22,DH
21,한승택,0.24,-0.99,0.00,-0.02,0.43,0.05,0.29,0.00,0.00,0.00,0.00,0.00,0.00,22,C
22,김민식,0.23,-0.13,0.00,0.01,-0.09,0.03,0.15,0.00,0.00,0.00,0.00,0.00,0.00,22,C
23,김호령,0.22,-0.16,0.00,0.02,0.07,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,22,CF
24,고영창,0.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.02,,0.18,,0.20,22,P
25,이우성,0.14,0.37,-0.11,0.06,-0.56,0.06,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,22,RF
26,장지수,0.14,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,,0.02,,0.14,22,P
27,이승재,0.08,0.00,0.00,0.00,0.00,0.00,0.00,,0.07,,0.01,,0.08,22,P
28,한승혁,0.07,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,-0.36,1.05,0.06,0.36,-0.30,22,P
29,김선우,0.04,0.03,0.00,0.01,-0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,C
30,박정우,0.03,-0.01,0.00,-0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22,CF
31,김현수,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.01,,0.02,22,P
32,장재혁,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-0.02,,0.02,,0.00,22,P
33,박정우,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22,1B
34,홍상삼,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-0.16,,0.14,,0.00,22,P
35,박민,0.00,-0.05,0.00,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,SS
36,송후섭,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,,-0.02,,0.00,,-0.01,22,P
37,나지완,-0.02,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22,LF
38,권혁경,-0.02,0.01,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22,C
39,로니,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.70,-0.04,0.60,0.01,0.00,-0.03,22,P
40,류승현,-0.03,-0.09,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,1B
41,김도현,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.12,0.09,0.04,-0.20,0.16,22,P
42,신범수,-0.04,-0.09,0.00,-0.01,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,C
43,임석진,-0.06,-0.07,0.00,-0.02,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,3B
44,윤중현,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,,-0.47,,0.37,,-0.07,22,P
45,이정훈,-0.10,-0.16,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,C
46,황대인,-0.10,-0.67,0.00,-0.08,-0.17,0.23,-1.02,0.00,0.00,0.00,0.00,0.00,0.00,22,1B
47,김유신,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,,-0.21,,0.09,,-0.10,22,P
48,김태진,-0.13,-0.10,0.00,0.00,-0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22,3B
49,최지민,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,,-0.18,,0.02,,-0.14,22,P
50,이민우,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.21,,0.04,,-0.14,,22,P
1,박찬호,4.71,0.55,0.19,0.11,0.99,0.21,0.98,0.00,0.00,0.00,0.00,0.00,0.00,23,SS
2,소크라테스,4.60,1.50,-0.02,-0.01,0.65,0.26,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,23,CF
3,최형우,3.93,3.19,-0.04,-0.06,-0.56,0.21,-1.08,0.00,0.00,0.00,0.00,0.00,0.00,23,DH
4,김도영,3.88,1.29,0.29,0.06,0.99,0.16,0.03,0.00,0.00,0.00,0.00,0.00,0.00,23,3B
5,나성범,3.68,3.31,-0.02,0.03,-0.62,0.11,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,23,RF
6,양현종,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.66,,2.93,,3.54,,23,P
7,이의리,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.56,,2.26,,2.78,,23,P
8,김선빈,2.69,0.79,-0.02,-0.06,-0.44,0.20,0.48,0.00,0.00,0.00,0.00,0.00,0.00,23,2B
9,이우성,2.66,0.95,0.09,-0.06,0.45,0.17,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,23,RF
10,윤영철,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.08,2.05,0.01,2.18,0.09,23,P
11,이창진,1.94,0.75,0.07,0.04,-0.04,0.12,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,23,LF
12,파노니,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.08,1.38,0.02,1.63,0.10,23,P
13,임기영,1.54,0.00,0.00,0.00,0.00,0.00,0.00,,0.91,,0.66,,1.54,23,P
14,전상현,1.44,0.00,0.00,0.00,0.00,0.00,0.00,,0.99,,0.48,,1.44,23,P
15,앤더슨,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,1.33,,1.34,,23,P
16,고종욱,1.29,0.22,-0.06,0.04,-0.15,0.12,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,23,LF
17,정해영,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.40,0.00,1.06,23,P
18,김호령,0.90,-0.85,0.01,0.04,1.15,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,CF
19,김규성,0.86,-0.46,-0.03,0.15,0.20,0.07,0.19,0.00,0.00,0.00,0.00,0.00,0.00,23,2B
20,최원준,0.82,0.06,0.04,0.08,-0.12,0.11,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,23,1B
21,이준영,0.68,0.00,0.00,0.00,0.00,0.00,0.00,,0.42,,0.27,,0.68,23,P
22,한준수,0.63,-0.26,-0.01,-0.02,0.32,0.04,0.23,0.00,0.00,0.00,0.00,0.00,0.00,23,C
23,김태군,0.43,-0.81,-0.01,-0.10,0.24,0.09,0.49,0.00,0.00,0.00,0.00,0.00,0.00,23,C
24,최지민,0.37,0.00,0.00,0.00,0.00,0.00,0.00,,-0.08,,0.45,,0.37,23,P
25,최정용,0.34,-0.30,0.07,0.06,0.24,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,23,2B
26,박정우,0.25,-0.02,0.00,0.01,0.17,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,CF
27,장현식,0.25,0.00,0.00,0.00,0.00,0.00,0.00,,-0.14,,0.38,,0.25,23,P
28,윤중현,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.22,0.00,0.24,23,P
29,김승현,0.13,0.00,0.00,0.00,0.00,0.00,0.00,,0.03,,0.10,,0.13,23,P
30,홍종표,0.12,-0.06,-0.01,0.05,0.04,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,2B
31,산체스,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.66,-0.27,0.90,0.02,0.37,-0.25,23,P
32,김건국,0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-0.02,0.22,0.01,0.06,-0.01,23,P
33,김선우,0.04,-0.13,0.00,0.00,0.13,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,C
34,유승철,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,0.03,,0.01,,0.04,23,P
35,박준표,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,0.00,0.20,0.00,0.01,23,P
36,김대유,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,,-0.22,,0.17,,-0.03,23,P
37,메디나,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,-1.04,,0.83,,-0.07,,23,P
38,윤도현,-0.07,-0.03,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,2B
39,황동하,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.62,0.04,0.30,0.07,-0.27,0.12,23,P
40,곽도규,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,,-0.24,,0.06,,-0.15,23,P
41,류지혁,-0.18,-0.46,-0.02,0.03,-0.73,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,3B
42,황대인,-0.22,-0.93,-0.01,-0.02,0.35,0.08,-0.36,0.00,0.00,0.00,0.00,0.00,0.00,23,1B
43,오선우,-0.22,-0.22,0.00,-0.02,-0.10,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,23,RF
44,김유신,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,,-0.50,,0.20,,-0.26,23,P
45,변우혁,-0.28,-0.54,-0.01,0.01,-0.47,0.09,-0.24,0.00,0.00,0.00,0.00,0.00,0.00,23,1B
46,신범수,-0.32,-0.79,0.00,-0.11,-0.03,0.04,0.24,0.00,0.00,0.00,0.00,0.00,0.00,23,C
47,김기훈,-0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.58,0.00,0.19,0.00,-0.34,23,P
48,김재열,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,,-0.46,,0.05,,-0.37,23,P
49,주효상,-0.40,-0.60,0.00,-0.01,-0.02,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,23,C
50,김석환,-0.40,-0.33,0.00,-0.02,-0.13,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,23,1B
1,네일,1.73,0.00,0.00,0.00,0.00,0.00,0.00,1.31,,0.46,,1.73,,24,P
2,최원준,1.02,0.80,-0.08,-0.05,0.06,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,24,CF
3,양현종,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.54,,0.37,,0.92,,24,P
4,서건창,0.81,0.62,0.04,0.02,-0.13,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,24,2B
5,전상현,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.09,0.00,0.76,24,P
6,윤영철,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.44,,0.25,,0.69,,24,P
7,최지민,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.09,0.00,0.66,24,P
8,곽도규,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.08,0.00,0.64,24,P
9,박찬호,0.60,0.05,0.03,-0.01,0.23,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,24,SS
10,장현식,0.54,0.00,0.00,0.00,0.00,0.00,0.00,,0.46,,0.08,,0.54,24,P
11,정해영,0.51,0.00,0.00,0.00,0.00,0.00,0.00,,0.44,,0.07,,0.51,24,P
12,크로우,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.14,,0.32,,0.50,,24,P
13,김선빈,0.50,0.09,0.03,0.05,0.08,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,24,2B
14,한준수,0.47,0.21,0.00,-0.04,0.04,0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.00,24,C
15,김태군,0.41,0.09,-0.01,0.03,0.08,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,24,C
16,김도영,0.32,0.13,0.13,0.06,-0.46,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24,3B
17,최형우,0.29,0.22,-0.02,-0.11,0.00,0.03,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,24,DH
18,홍종표,0.29,0.09,-0.05,0.02,0.07,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,24,2B
19,김호령,0.26,-0.12,0.01,0.02,0.24,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,24,CF
20,이우성,0.24,0.40,0.01,0.08,-0.29,0.03,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,24,RF
21,고종욱,0.20,0.17,0.00,0.00,-0.06,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,24,LF
22,이준영,0.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,,0.03,,0.20,24,P
23,이의리,0.15,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,,0.15,,0.15,,24,P
24,박민,0.09,-0.02,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,24,SS
25,임기영,0.07,0.00,0.00,0.00,0.00,0.00,0.00,,0.06,,0.01,,0.07,24,P
26,김건국,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.01,0.04,0.03,0.01,0.02,24,P
27,김규성,-0.02,0.12,0.00,-0.01,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24,2B
28,김사윤,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,,-0.03,,0.00,,-0.02,24,P
29,박준표,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,,-0.03,,0.00,,-0.02,24,P
30,황동하,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,,-0.06,,0.02,,-0.03,24,P
31,황대인,-0.03,-0.02,0.00,0.00,-0.03,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,24,1B
32,김대유,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,,-0.06,,0.01,,-0.04,24,P
33,이형범,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,,-0.09,,0.01,,-0.07,24,P
34,윤중현,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,,-0.11,,0.00,,-0.09,24,P
35,한승택,-0.12,0.00,0.00,0.00,-0.14,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,24,C
36,이창진,-0.15,-0.07,-0.04,0.01,-0.14,0.02,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,24,LF
37,소크라테스,-1.00,-0.56,0.03,-0.12,-0.60,0.03,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,24,LF
