날짜,원정,홈,구장,비고
05.29(일),삼성8,4LG,잠실,-
05.29(일),키움4,0롯데,사직,-
05.29(일),두산1,0NC,창원,-
05.29(일),한화12,4KT,수원,-
05.29(일),SSG9,7KIA,광주,-
05.31(화),KIA13,10두산,잠실,-
05.31(화),KT2,1SSG,문학,-
05.31(화),LG5,7롯데,사직,-
05.31(화),삼성2,3키움,고척,-
05.31(화),NC10,5한화,대전,-
06.01(수),KIA7,3두산,잠실,-
06.01(수),KT1,2SSG,문학,-
06.01(수),LG14,5롯데,사직,-
06.01(수),삼성4,2키움,고척,-
06.01(수),NC0,3한화,대전,-
06.02(목),KIA4,3두산,잠실,-
06.02(목),KT14,1SSG,문학,-
06.02(목),LG2,2롯데,사직,-
06.02(목),삼성5,6키움,고척,-
06.02(목),NC4,3한화,대전,-
06.03(금),SSG1,7LG,잠실,-
06.03(금),두산5,8삼성,대구,-
06.03(금),롯데1,5NC,창원,-
06.03(금),KIA2,5KT,수원,-
06.03(금),키움2,14한화,대전,-
06.04(토),SSG2,6LG,잠실,-
06.04(토),두산16,8삼성,대구,-
06.04(토),롯데3,2NC,창원,-
06.04(토),KIA3,4KT,수원,-
06.04(토),키움4,3한화,대전,-
06.05(일),SSG2,0LG,잠실,-
06.05(일),두산,삼성,대구,우천취소
06.05(일),롯데,NC,창원,우천취소
06.05(일),KIA2,2KT,수원,-
06.05(일),키움,한화,대전,우천취소
06.07(화),한화1,3두산,잠실,-
06.07(화),삼성7,4롯데,사직,-
06.07(화),SSG2,6NC,창원,-
06.07(화),LG,KIA,광주,우천취소
06.07(화),KT0,3키움,고척,-
06.08(수),한화5,1두산,잠실,-
06.08(수),삼성4,2롯데,사직,-
06.08(수),SSG2,2NC,창원,-
06.08(수),LG11,7KIA,광주,-
06.08(수),KT5,5키움,고척,-
06.09(목),한화7,16두산,잠실,-
06.09(목),삼성6,7롯데,사직,-
06.09(목),SSG4,5NC,창원,-
06.09(목),LG1,5KIA,광주,-
06.09(목),KT7,1키움,고척,-
06.10(금),두산7,10LG,잠실,-
06.10(금),한화2,9SSG,문학,-
06.10(금),KT9,4롯데,사직,-
06.10(금),NC9,1삼성,대구,-
06.10(금),키움10,6KIA,광주,-
06.11(토),두산5,4LG,잠실,-
06.11(토),한화2,4SSG,문학,-
06.11(토),KT4,0롯데,사직,-
06.11(토),NC4,1삼성,대구,-
06.11(토),키움2,5KIA,광주,-
06.12(일),두산6,9LG,잠실,-
06.12(일),한화11,13SSG,문학,-
06.12(일),KT0,13롯데,사직,-
06.12(일),NC2,4삼성,대구,-
06.12(일),키움10,8KIA,광주,-
06.14(화),삼성0,7LG,잠실,-
06.14(화),KIA,NC,창원,우천취소
06.14(화),SSG4,5KT,수원,-
06.14(화),두산0,2키움,고척,-
06.14(화),롯데,한화,대전,우천취소
06.15(수),삼성6,3LG,잠실,-
06.15(수),KIA2,7NC,창원,-
06.15(수),SSG3,6KT,수원,-
06.15(수),두산4,3키움,고척,-
06.15(수),롯데11,5한화,대전,-
06.16(목),삼성1,2LG,잠실,-
06.16(목),KIA4,2NC,창원,-
06.16(목),SSG6,0KT,수원,-
06.16(목),두산2,6키움,고척,-
06.16(목),롯데3,0한화,대전,-
06.17(금),KT4,2두산,잠실,-
06.17(금),SSG6,2롯데,사직,-
06.17(금),한화1,1NC,창원,-
06.17(금),삼성3,5KIA,광주,-
06.17(금),LG4,2키움,고척,-
06.18(토),LG0,2키움,고척,-
06.18(토),KT0,5두산,잠실,-
06.18(토),SSG10,5롯데,사직,-
06.18(토),한화2,3NC,창원,-
06.18(토),삼성6,2KIA,광주,-
06.19(일),LG4,2키움,고척,-
06.19(일),KT7,1두산,잠실,-
06.19(일),SSG4,7롯데,사직,-
06.19(일),한화3,6NC,창원,-
06.19(일),삼성7,3KIA,광주,-
06.21(화),한화4,10LG,잠실,-
06.21(화),두산16,2SSG,문학,-
06.21(화),키움4,3삼성,대구,-
06.21(화),NC1,8KT,수원,-
06.21(화),롯데5,6KIA,광주,-
06.22(수),한화5,6LG,잠실,-
06.22(수),두산5,6SSG,문학,-
06.22(수),키움6,0삼성,대구,-
06.22(수),NC11,0KT,수원,-
06.22(수),롯데7,5KIA,광주,-
06.23(목),한화,LG,잠실,우천취소
06.23(목),두산,SSG,문학,우천취소
06.23(목),키움6,1삼성,대구,-
06.23(목),NC,KT,수원,우천취소
06.23(목),롯데4,7KIA,광주,-
06.24(금),KIA4,3두산,잠실,-
06.24(금),NC2,14SSG,문학,-
06.24(금),키움1,5롯데,사직,-
06.24(금),LG6,9KT,수원,-
06.24(금),삼성0,3한화,대전,-
06.25(토),KIA8,6두산,잠실,-
06.25(토),NC1,8SSG,문학,-
06.25(토),키움13,5롯데,사직,-
06.25(토),LG7,2KT,수원,-
06.25(토),삼성5,2한화,대전,-
06.26(일),KIA4,8두산,잠실,-
06.26(일),NC3,7SSG,문학,-
06.26(일),키움9,4롯데,사직,-
06.26(일),LG3,1KT,수원,-
06.26(일),삼성6,2한화,대전,-
06.28(화),NC0,5LG,잠실,-
06.28(화),두산3,3롯데,사직,-
06.28(화),KT14,4삼성,대구,-
06.28(화),KIA2,5키움,고척,-
06.28(화),SSG3,6한화,대전,-
06.29(수),NC,LG,잠실,우천취소
06.29(수),두산,롯데,사직,우천취소
06.29(수),KT2,8삼성,대구,-
06.29(수),KIA0,1키움,고척,-
06.29(수),SSG8,3한화,대전,-
06.30(목),NC,LG,잠실,우천취소
06.30(목),두산1,5롯데,사직,-
06.30(목),KT13,2삼성,대구,-
06.30(목),KIA4,5키움,고척,-
06.30(목),SSG,한화,대전,그라운드사정
07.01(금),롯데1,2LG,잠실,-
07.01(금),KIA6,7SSG,문학,-
07.01(금),삼성,NC,창원,그라운드사정
07.01(금),두산7,11KT,수원,-
07.01(금),한화5,7키움,고척,-
07.02(토),한화0,3키움,고척,-
07.02(토),롯데8,1LG,잠실,-
07.02(토),KIA1,2SSG,문학,-
07.02(토),삼성1,17NC,창원,-
07.02(토),두산3,8KT,수원,-
07.03(일),한화1,2키움,고척,-
07.03(일),롯데1,4LG,잠실,-
07.03(일),KIA2,3SSG,문학,-
07.03(일),삼성6,11NC,창원,-
07.03(일),두산0,6KT,수원,-
07.05(화),키움4,3두산,잠실,-
07.05(화),롯데3,4SSG,문학,-
07.05(화),LG4,1삼성,대구,-
07.05(화),KT,KIA,광주,우천취소
07.05(화),NC1,0한화,대전,-
07.06(수),키움2,5두산,잠실,-
07.06(수),롯데12,5SSG,문학,-
07.06(수),LG10,9삼성,대구,-
07.06(수),KT8,1KIA,광주,-
07.06(수),NC4,3한화,대전,-
07.07(목),키움2,4두산,잠실,-
07.07(목),롯데1,8SSG,문학,-
07.07(목),LG11,9삼성,대구,-
07.07(목),KT,KIA,광주,우천취소
07.07(목),NC11,12한화,대전,-
07.08(금),LG11,4두산,잠실,-
07.08(금),SSG9,8삼성,대구,-
07.08(금),롯데3,6KT,수원,-
07.08(금),한화3,5KIA,광주,-
07.08(금),NC2,3키움,고척,-
07.09(토),NC1,10키움,고척,-
07.09(토),LG8,6두산,잠실,-
07.09(토),SSG13,10삼성,대구,-
07.09(토),롯데1,3KT,수원,-
07.09(토),한화5,6KIA,광주,-
07.10(일),NC0,2키움,고척,-
07.10(일),LG9,0두산,잠실,-
07.10(일),SSG7,2삼성,대구,-
07.10(일),롯데9,1KT,수원,-
07.10(일),한화3,6KIA,광주,-
07.12(화),KIA7,1LG,잠실,-
07.12(화),키움3,7SSG,문학,-
07.12(화),한화2,3롯데,사직,-
07.12(화),두산11,7NC,창원,-
07.12(화),삼성3,4KT,수원,-
07.13(수),KIA,LG,잠실,우천취소
07.13(수),키움,SSG,문학,우천취소
07.13(수),한화0,2롯데,사직,-
07.13(수),두산1,4NC,창원,-
07.13(수),삼성,KT,수원,우천취소
07.14(목),KIA2,6LG,잠실,-
07.14(목),키움1,4SSG,문학,-
07.14(목),한화7,10롯데,사직,-
07.14(목),두산11,3NC,창원,-
07.14(목),삼성0,1KT,수원,-
07.22(금),SSG1,0두산,잠실,-
07.22(금),KIA5,2롯데,사직,-
07.22(금),LG4,5NC,창원,-
07.22(금),삼성2,3키움,고척,-
07.22(금),KT0,8한화,대전,-
07.23(토),삼성0,6키움,고척,-
07.23(토),SSG,두산,잠실,우천취소
07.23(토),KIA9,3롯데,사직,-
07.23(토),LG11,5NC,창원,-
07.23(토),KT5,3한화,대전,-
07.24(일),삼성8,0키움,고척,-
07.24(일),SSG5,4두산,잠실,-
07.24(일),KIA23,0롯데,사직,-
07.24(일),LG1,6NC,창원,-
07.24(일),KT3,1한화,대전,-
07.26(화),롯데1,6두산,잠실,-
07.26(화),LG9,0SSG,문학,-
07.26(화),키움8,7KT,수원,-
07.26(화),NC9,1KIA,광주,-
07.26(화),한화4,2삼성,포항,-
07.27(수),롯데5,6두산,잠실,-
07.27(수),LG3,6SSG,문학,-
07.27(수),키움4,5KT,수원,-
07.27(수),NC5,9KIA,광주,-
07.27(수),한화10,11삼성,포항,-
07.28(목),롯데5,8두산,잠실,-
07.28(목),LG4,5SSG,문학,-
07.28(목),키움2,8KT,수원,-
07.28(목),NC6,2KIA,광주,-
07.28(목),한화3,3삼성,포항,-
07.29(금),KT5,4LG,잠실,-
07.29(금),롯데7,8삼성,대구,-
07.29(금),키움3,5NC,창원,-
07.29(금),SSG2,11KIA,광주,-
07.29(금),두산7,3한화,대전,-
07.30(토),KT7,8LG,잠실,-
07.30(토),롯데9,8삼성,대구,-
07.30(토),키움3,3NC,창원,-
07.30(토),SSG7,5KIA,광주,-
07.30(토),두산1,11한화,대전,-
07.31(일),KT,LG,잠실,우천취소
07.31(일),롯데5,5삼성,대구,-
07.31(일),키움,NC,창원,우천취소
07.31(일),SSG3,2KIA,광주,-
07.31(일),두산,한화,대전,우천취소
08.02(화),삼성,두산,잠실,우천취소
08.02(화),LG3,4롯데,사직,-
08.02(화),KT,NC,창원,우천취소
08.02(화),SSG7,5키움,고척,-
08.02(화),KIA4,5한화,대전,-
08.03(수),삼성1,3두산,잠실,-
08.03(수),LG4,1롯데,사직,-
08.03(수),KT15,2NC,창원,-
08.03(수),SSG2,3키움,고척,-
08.03(수),KIA6,3한화,대전,-
08.04(목),삼성9,2두산,잠실,-
08.04(목),LG12,2롯데,사직,-
08.04(목),KT3,4NC,창원,-
08.04(목),SSG6,5키움,고척,-
08.04(목),KIA1,4한화,대전,-
08.05(금),키움8,7LG,잠실,-
08.05(금),삼성3,1SSG,문학,-
08.05(금),NC2,7롯데,사직,-
08.05(금),한화1,5KT,수원,-
08.05(금),두산5,3KIA,광주,-
08.06(토),키움3,12LG,잠실,-
08.06(토),삼성6,7SSG,문학,-
08.06(토),NC10,1롯데,사직,-
08.06(토),한화2,4KT,수원,-
08.06(토),두산7,4KIA,광주,-
08.07(일),키움0,5LG,잠실,-
08.07(일),삼성6,7SSG,문학,-
08.07(일),NC14,0롯데,사직,-
08.07(일),한화6,5KT,수원,-
08.07(일),두산4,5KIA,광주,-
08.10(수),NC11,0두산,잠실,-
08.10(수),KT2,4SSG,문학,-
08.10(수),KIA2,3삼성,대구,-
08.10(수),롯데4,3키움,고척,-
08.10(수),LG,한화,대전,우천취소
08.11(목),NC3,2두산,잠실,-
08.11(목),KT2,4SSG,문학,-
08.11(목),KIA,삼성,대구,우천취소
08.11(목),롯데3,0키움,고척,-
08.11(목),LG,한화,대전,우천취소
08.12(금),NC1,7두산,잠실,-
08.12(금),KT9,5SSG,문학,-
08.12(금),KIA6,7삼성,대구,-
08.12(금),롯데4,1키움,고척,-
08.12(금),LG6,5한화,대전,-
08.13(토),SSG8,2두산,잠실,-
08.13(토),LG,NC,창원,우천취소
08.13(토),삼성1,8KT,수원,-
08.13(토),롯데0,9KIA,광주,-
08.13(토),키움8,6한화,대전,-
08.14(일),SSG5,4두산,잠실,-
08.14(일),LG2,6NC,창원,-
08.14(일),삼성2,3KT,수원,-
08.14(일),롯데5,1KIA,광주,-
08.14(일),키움12,8한화,대전,-
08.16(화),삼성3,6LG,잠실,-
08.16(화),두산,롯데,사직,우천취소
08.16(화),한화,NC,창원,우천취소
08.16(화),키움4,5KT,수원,-
08.16(화),SSG,KIA,광주,우천취소
08.17(수),삼성7,11LG,잠실,-
08.17(수),두산6,8롯데,사직,-
08.17(수),한화4,6NC,창원,-
08.17(수),키움2,3KT,수원,-
08.17(수),SSG3,4KIA,광주,-
08.18(목),키움2,10두산,잠실,-
08.18(목),LG8,4SSG,문학,-
08.18(목),KT0,1롯데,사직,-
08.18(목),NC14,8KIA,광주,-
08.18(목),삼성7,4한화,대전,-
08.19(금),키움,두산,잠실,우천취소
08.19(금),LG,SSG,문학,그라운드사정
08.19(금),KT4,3롯데,사직,-
08.19(금),NC9,12KIA,광주,-
08.19(금),삼성9,5한화,대전,-
08.20(토),SSG14,7키움,고척,-
08.20(토),두산1,6LG,잠실,-
08.20(토),한화5,3롯데,사직,-
08.20(토),NC,삼성,대구,그라운드사정
08.20(토),KIA5,2KT,수원,-
08.21(일),SSG6,1키움,고척,-
08.21(일),두산4,2LG,잠실,-
08.21(일),한화1,8롯데,사직,-
08.21(일),NC6,2삼성,대구,-
08.21(일),KIA3,11KT,수원,-
08.23(화),KT2,1두산,잠실,-
08.23(화),삼성3,7SSG,문학,-
08.23(화),롯데9,3NC,창원,-
08.23(화),KIA12,3키움,고척,-
08.23(화),LG4,6한화,대전,-
08.24(수),KT5,1두산,잠실,-
08.24(수),삼성2,4SSG,문학,-
08.24(수),롯데2,1NC,창원,-
08.24(수),KIA10,11키움,고척,-
08.24(수),LG9,2한화,대전,-
08.25(목),KIA1,0LG,잠실,-
08.25(목),삼성9,5롯데,사직,-
08.25(목),키움10,9NC,창원,-
08.25(목),SSG4,5KT,수원,-
08.25(목),두산0,4한화,대전,-
08.26(금),KIA1,3LG,잠실,-
08.26(금),삼성3,8롯데,사직,-
08.26(금),키움6,3NC,창원,-
08.26(금),SSG3,12KT,수원,-
08.26(금),두산1,2한화,대전,-
08.27(토),키움0,1LG,잠실,-
08.27(토),롯데0,10SSG,문학,-
08.27(토),한화4,7삼성,대구,-
08.27(토),KT2,9NC,창원,-
08.27(토),두산2,1KIA,광주,-
08.28(일),키움0,7LG,잠실,-
08.28(일),롯데4,2SSG,문학,-
08.28(일),한화4,5삼성,대구,-
08.28(일),KT0,5NC,창원,-
08.28(일),두산6,11KIA,광주,-
08.30(화),NC,LG,잠실,우천취소
08.30(화),SSG,삼성,대구,우천취소
08.30(화),두산,KT,수원,우천취소
08.30(화),롯데5,6키움,고척,-
08.30(화),KIA,한화,대전,우천취소
08.31(수),NC3,5LG,잠실,-
08.31(수),SSG1,2삼성,대구,-
08.31(수),두산2,5KT,수원,-
08.31(수),롯데4,5키움,고척,-
08.31(수),KIA4,3한화,대전,-
09.01(목),롯데1,2두산,잠실,-
09.01(목),NC3,2SSG,문학,-
09.01(목),LG3,1KT,수원,-
09.01(목),삼성4,1KIA,광주,-
09.01(목),한화1,7키움,고척,-
09.02(금),롯데16,4두산,잠실,-
09.02(금),NC3,5SSG,문학,-
09.02(금),LG2,1KT,수원,-
09.02(금),삼성3,8KIA,광주,-
09.02(금),한화0,4키움,고척,-
09.03(토),삼성4,1두산,잠실,-
09.03(토),키움2,1SSG,문학,-
09.03(토),LG,롯데,사직,우천취소
09.03(토),KT5,1KIA,광주,-
09.03(토),NC3,7한화,대전,-
09.04(일),삼성,두산,잠실,우천취소
09.04(일),키움,SSG,문학,우천취소
09.04(일),LG14,1롯데,사직,-
09.04(일),KT6,2KIA,광주,-
09.04(일),NC1,10한화,대전,-
09.06(화),SSG8,6LG,잠실,-
09.06(화),키움4,11삼성,대구,-
09.06(화),두산3,4NC,창원,-
09.06(화),한화5,8KT,수원,-
09.06(화),KIA3,6롯데,울산,-
09.07(수),SSG2,2LG,잠실,-
09.07(수),키움1,2삼성,대구,-
09.07(수),두산5,16NC,창원,-
09.07(수),한화2,4KT,수원,-
09.07(수),KIA12,6롯데,울산,-
09.08(목),한화5,4두산,잠실,-
09.08(목),KIA9,4SSG,문학,-
09.08(목),롯데2,1삼성,대구,-
09.08(목),NC8,3KT,수원,-
09.08(목),LG2,3키움,고척,-
09.09(금),한화0,11두산,잠실,-
09.09(금),KIA16,9SSG,문학,-
09.09(금),롯데0,4삼성,대구,-
09.09(금),NC17,1KT,수원,-
09.09(금),LG6,3키움,고척,-
09.10(토),KIA3,0두산,잠실,-
09.10(토),NC6,3롯데,사직,-
09.10(토),LG10,1삼성,대구,-
09.10(토),KT2,1키움,고척,-
09.10(토),SSG0,5한화,대전,-
09.11(일),KIA3,6두산,잠실,-
09.11(일),NC11,6롯데,사직,-
09.11(일),LG1,3삼성,대구,-
09.11(일),KT0,5키움,고척,-
09.11(일),SSG12,1한화,대전,-
09.13(화),LG5,0두산,잠실,-
09.13(화),SSG8,9롯데,사직,-
09.13(화),삼성3,1NC,창원,-
09.13(화),키움4,1KIA,광주,-
09.13(화),KT5,2한화,대전,-
09.14(수),LG0,5두산,잠실,-
09.14(수),SSG3,1롯데,사직,-
09.14(수),삼성2,7NC,창원,-
09.14(수),키움2,0KIA,광주,-
09.14(수),KT1,4한화,대전,-
09.15(목),KT0,2LG,잠실,-
09.15(목),키움2,4롯데,사직,-
09.15(목),두산3,13삼성,대구,-
09.15(목),SSG0,6NC,창원,-
09.15(목),한화2,1KIA,광주,-
09.16(금),KT,LG,잠실,우천취소
09.16(금),키움12,10롯데,사직,-
09.16(금),두산13,11삼성,대구,-
09.16(금),SSG10,0NC,창원,-
09.16(금),한화7,6KIA,광주,-
09.17(토),한화1,4LG,잠실,-
09.17(토),두산4,1SSG,문학,-
09.17(토),KIA1,10삼성,대구,-
09.17(토),롯데2,0KT,수원,-
09.17(토),NC3,10키움,고척,-
09.18(일),한화5,1LG,잠실,-
09.18(일),두산13,14SSG,문학,-
09.18(일),KIA6,9삼성,대구,-
09.18(일),롯데3,6KT,수원,-
09.18(일),NC5,1키움,고척,-
