날짜,원정,홈,구장,비고
04.02(토),한화4,6두산,잠실,-
04.02(토),SSG4,0NC,창원,-
04.02(토),삼성1,4KT,수원,-
04.02(토),LG9,0KIA,광주,-
04.02(토),롯데7,2키움,고척,-
04.03(일),한화0,1두산,잠실,-
04.03(일),SSG4,1NC,창원,-
04.03(일),삼성6,5KT,수원,-
04.03(일),LG3,2KIA,광주,-
04.03(일),롯데3,4키움,고척,-
04.05(화),삼성6,5두산,잠실,-
04.05(화),롯데5,1NC,창원,-
04.05(화),SSG8,5KT,수원,-
04.05(화),한화3,4KIA,광주,-
04.05(화),LG8,4키움,고척,-
04.06(수),삼성7,1두산,잠실,-
04.06(수),롯데0,5NC,창원,-
04.06(수),SSG3,0KT,수원,-
04.06(수),한화4,7KIA,광주,-
04.06(수),LG2,1키움,고척,-
04.07(목),삼성5,6두산,잠실,-
04.07(목),롯데2,1NC,창원,-
04.07(목),SSG4,3KT,수원,-
04.07(목),한화2,6KIA,광주,-
04.07(목),LG6,0키움,고척,-
04.08(금),NC4,1LG,잠실,-
04.08(금),KIA0,3SSG,문학,-
04.08(금),두산6,1롯데,사직,-
04.08(금),키움1,0삼성,대구,-
04.08(금),KT4,2한화,대전,-
04.09(토),NC6,7LG,잠실,-
04.09(토),KIA5,9SSG,문학,-
04.09(토),두산4,5롯데,사직,-
04.09(토),키움3,0삼성,대구,-
04.09(토),KT1,7한화,대전,-
04.10(일),NC3,5LG,잠실,-
04.10(일),KIA2,11SSG,문학,-
04.10(일),두산4,3롯데,사직,-
04.10(일),키움6,5삼성,대구,-
04.10(일),KT4,6한화,대전,-
04.12(화),SSG4,1LG,잠실,-
04.12(화),한화0,2삼성,대구,-
04.12(화),두산3,1KT,수원,-
04.12(화),롯데5,6KIA,광주,-
04.12(화),NC0,10키움,고척,-
04.13(수),SSG4,2LG,잠실,-
04.13(수),한화1,12삼성,대구,-
04.13(수),두산,KT,수원,우천취소
04.13(수),롯데,KIA,광주,우천취소
04.13(수),NC4,5키움,고척,-
04.14(목),SSG1,5LG,잠실,-
04.14(목),한화3,8삼성,대구,-
04.14(목),두산5,4KT,수원,-
04.14(목),롯데3,2KIA,광주,-
04.14(목),NC0,1키움,고척,-
04.15(금),키움4,2두산,잠실,-
04.15(금),삼성0,5SSG,문학,-
04.15(금),KT7,9롯데,사직,-
04.15(금),KIA0,5NC,창원,-
04.15(금),LG3,7한화,대전,-
04.16(토),삼성2,6SSG,문학,-
04.16(토),키움1,4두산,잠실,-
04.16(토),KT8,0롯데,사직,-
04.16(토),KIA14,0NC,창원,-
04.16(토),LG6,2한화,대전,-
04.17(일),키움6,2두산,잠실,-
04.17(일),삼성5,7SSG,문학,-
04.17(일),KT0,3롯데,사직,-
04.17(일),KIA4,3NC,창원,-
04.17(일),LG8,7한화,대전,-
04.19(화),KT5,0LG,잠실,-
04.19(화),키움8,5SSG,문학,-
04.19(화),한화6,2롯데,사직,-
04.19(화),삼성8,11NC,창원,-
04.19(화),두산3,6KIA,광주,-
04.20(수),KT5,3LG,잠실,-
04.20(수),키움1,6SSG,문학,-
04.20(수),한화0,7롯데,사직,-
04.20(수),삼성0,3NC,창원,-
04.20(수),두산4,3KIA,광주,-
04.21(목),KT6,2LG,잠실,-
04.21(목),키움2,4SSG,문학,-
04.21(목),한화7,6롯데,사직,-
04.21(목),삼성10,3NC,창원,-
04.21(목),두산2,1KIA,광주,-
04.22(금),LG5,1두산,잠실,-
04.22(금),롯데8,2삼성,대구,-
04.22(금),NC3,4KT,수원,-
04.22(금),KIA5,4키움,고척,-
04.22(금),SSG0,2한화,대전,-
04.23(토),KIA1,3키움,고척,-
04.23(토),LG2,4두산,잠실,-
04.23(토),롯데4,2삼성,대구,-
04.23(토),NC3,4KT,수원,-
04.23(토),SSG2,9한화,대전,-
04.24(일),LG5,0두산,잠실,-
04.24(일),롯데7,4삼성,대구,-
04.24(일),NC2,1KT,수원,-
04.24(일),KIA14,2키움,고척,-
04.24(일),SSG3,1한화,대전,-
04.26(화),NC4,8두산,잠실,-
04.26(화),SSG8,1롯데,사직,-
04.26(화),LG4,7삼성,대구,-
04.26(화),KIA10,5KT,수원,-
04.26(화),키움2,5한화,대전,-
04.27(수),NC5,6두산,잠실,-
04.27(수),SSG1,1롯데,사직,-
04.27(수),LG7,0삼성,대구,-
04.27(수),KIA1,3KT,수원,-
04.27(수),키움7,0한화,대전,-
04.28(목),NC9,5두산,잠실,-
04.28(목),SSG1,4롯데,사직,-
04.28(목),LG6,4삼성,대구,-
04.28(목),KIA3,5KT,수원,-
04.28(목),키움3,1한화,대전,-
04.29(금),롯데9,4LG,잠실,-
04.29(금),두산7,8SSG,문학,-
04.29(금),한화4,9NC,창원,-
04.29(금),삼성4,3KIA,광주,-
04.29(금),KT6,4키움,고척,-
04.30(토),삼성5,4KIA,광주,-
04.30(토),롯데3,1LG,잠실,-
04.30(토),두산1,2SSG,문학,-
04.30(토),한화2,0NC,창원,-
04.30(토),KT1,4키움,고척,-
05.01(일),롯데4,0LG,잠실,-
05.01(일),두산9,0SSG,문학,-
05.01(일),한화2,1NC,창원,-
05.01(일),삼성6,3KIA,광주,-
05.01(일),KT3,9키움,고척,-
05.03(화),두산3,4LG,잠실,-
05.03(화),한화2,4SSG,문학,-
05.03(화),NC10,6삼성,대구,-
05.03(화),롯데5,10KT,수원,-
05.03(화),키움7,1KIA,광주,-
05.04(수),두산5,2LG,잠실,-
05.04(수),한화8,5SSG,문학,-
05.04(수),NC5,11삼성,대구,-
05.04(수),롯데5,0KT,수원,-
05.04(수),키움3,4KIA,광주,-
05.05(목),두산9,4LG,잠실,-
05.05(목),한화4,14SSG,문학,-
05.05(목),NC2,5삼성,대구,-
05.05(목),롯데2,8KT,수원,-
05.05(목),키움1,10KIA,광주,-
05.06(금),KT6,0두산,잠실,-
05.06(금),삼성5,0롯데,사직,-
05.06(금),LG15,8NC,창원,-
05.06(금),SSG2,9키움,고척,-
05.06(금),KIA13,2한화,대전,-
05.07(토),KT8,11두산,잠실,-
05.07(토),삼성4,1롯데,사직,-
05.07(토),LG6,3NC,창원,-
05.07(토),SSG3,0키움,고척,-
05.07(토),KIA5,4한화,대전,-
05.08(일),KT5,0두산,잠실,-
05.08(일),삼성4,2롯데,사직,-
05.08(일),LG3,2NC,창원,-
05.08(일),SSG6,2키움,고척,-
05.08(일),KIA7,6한화,대전,-
05.10(화),한화1,9LG,잠실,-
05.10(화),NC0,7롯데,사직,-
05.10(화),SSG3,1삼성,대구,-
05.10(화),KT0,1KIA,광주,-
05.10(화),두산9,0키움,고척,-
05.11(수),한화2,5LG,잠실,-
05.11(수),NC5,6롯데,사직,-
05.11(수),SSG5,6삼성,대구,-
05.11(수),KT10,5KIA,광주,-
05.11(수),두산5,1키움,고척,-
05.12(목),한화7,11LG,잠실,-
05.12(목),NC4,2롯데,사직,-
05.12(목),SSG2,4삼성,대구,-
05.12(목),KT4,5KIA,광주,-
05.12(목),두산3,2키움,고척,-
05.13(금),KIA10,1LG,잠실,-
05.13(금),NC6,2SSG,문학,-
05.13(금),두산,삼성,대구,우천취소
05.13(금),키움7,5KT,수원,-
05.13(금),롯데8,1한화,대전,-
05.14(토),KIA3,5LG,잠실,-
05.14(토),NC1,2SSG,문학,-
05.14(토),두산0,4삼성,대구,-
05.14(토),키움3,0KT,수원,-
05.14(토),롯데8,5한화,대전,-
05.15(일),KIA3,6LG,잠실,-
05.15(일),NC8,7SSG,문학,-
05.15(일),두산3,4삼성,대구,-
05.15(일),키움5,1KT,수원,-
05.15(일),롯데4,8한화,대전,-
05.17(화),SSG9,9두산,잠실,-
05.17(화),KIA4,3롯데,사직,-
05.17(화),키움11,4NC,창원,-
05.17(화),LG2,3KT,수원,-
05.17(화),삼성3,4한화,대전,-
05.18(수),SSG5,2두산,잠실,-
05.18(수),KIA15,7롯데,사직,-
05.18(수),키움3,15NC,창원,-
05.18(수),LG9,1KT,수원,-
05.18(수),삼성5,3한화,대전,-
05.19(목),SSG9,3두산,잠실,-
05.19(목),KIA4,2롯데,사직,-
05.19(목),키움3,1NC,창원,-
05.19(목),LG7,3KT,수원,-
05.19(목),삼성2,1한화,대전,-
05.20(금),롯데4,0두산,잠실,-
05.20(금),LG4,5SSG,문학,-
05.20(금),KT5,1삼성,대구,-
05.20(금),NC3,5KIA,광주,-
05.20(금),한화3,4키움,고척,-
05.21(토),롯데4,12두산,잠실,-
05.21(토),LG4,3SSG,문학,-
05.21(토),KT5,2삼성,대구,-
05.21(토),NC7,4KIA,광주,-
05.21(토),한화2,11키움,고척,-
05.22(일),롯데5,4두산,잠실,-
05.22(일),LG1,3SSG,문학,-
05.22(일),KT3,4삼성,대구,-
05.22(일),NC6,8KIA,광주,-
05.22(일),한화6,5키움,고척,-
05.24(화),키움6,4LG,잠실,-
05.24(화),롯데2,3SSG,문학,-
05.24(화),KIA4,3삼성,대구,-
05.24(화),KT2,3NC,창원,-
05.24(화),두산3,6한화,대전,-
05.25(수),키움10,5LG,잠실,-
05.25(수),롯데1,9SSG,문학,-
05.25(수),KIA11,5삼성,대구,-
05.25(수),KT3,2NC,창원,-
05.25(수),두산1,14한화,대전,-
05.26(목),키움12,5LG,잠실,-
05.26(목),롯데5,6SSG,문학,-
05.26(목),KIA9,7삼성,대구,-
05.26(목),KT2,1NC,창원,-
05.26(목),두산24,3한화,대전,-
05.27(금),삼성0,5LG,잠실,-
05.27(금),키움8,0롯데,사직,-
05.27(금),두산6,1NC,창원,-
05.27(금),한화4,0KT,수원,-
05.27(금),SSG8,1KIA,광주,-
05.28(토),키움6,3롯데,사직,-
05.28(토),SSG3,9KIA,광주,-
05.28(토),삼성4,9LG,잠실,-
05.28(토),두산0,5NC,창원,-
05.28(토),한화9,8KT,수원,-
