날짜,원정,홈,구장,비고
04.03(토),KIA,두산,잠실,우천취소
04.03(토),롯데,SSG,문학,우천취소
04.03(토),LG,NC,창원,우천취소
04.03(토),한화,KT,수원,우천취소
04.03(토),삼성1,6키움,고척,-
04.04(일),KIA1,4두산,잠실,-
04.04(일),롯데3,5SSG,문학,-
04.04(일),LG2,1NC,창원,-
04.04(일),한화2,3KT,수원,-
04.04(일),삼성4,7키움,고척,-
04.06(화),삼성3,6두산,잠실,-
04.06(화),한화1,2SSG,문학,-
04.06(화),롯데10,5NC,창원,-
04.06(화),LG3,2KT,수원,-
04.06(화),KIA5,4키움,고척,-
04.07(수),삼성0,1두산,잠실,-
04.07(수),한화17,0SSG,문학,-
04.07(수),롯데6,10NC,창원,-
04.07(수),LG3,7KT,수원,-
04.07(수),KIA8,7키움,고척,-
04.08(목),삼성6,1두산,잠실,-
04.08(목),한화4,6SSG,문학,-
04.08(목),롯데8,4NC,창원,-
04.08(목),LG7,3KT,수원,-
04.08(목),KIA5,3키움,고척,-
04.09(금),SSG5,9LG,잠실,-
04.09(금),키움7,2롯데,사직,-
04.09(금),KT5,7삼성,대구,-
04.09(금),NC10,6KIA,광주,-
04.09(금),두산0,7한화,대전,-
04.10(토),SSG4,3LG,잠실,-
04.10(토),KT6,7삼성,대구,-
04.10(토),키움0,13롯데,사직,-
04.10(토),NC9,2KIA,광주,-
04.10(토),두산18,1한화,대전,-
04.11(일),SSG0,1LG,잠실,-
04.11(일),키움3,2롯데,사직,-
04.11(일),KT2,4삼성,대구,-
04.11(일),NC7,3KIA,광주,-
04.11(일),두산2,3한화,대전,-
04.13(화),KT8,7두산,잠실,-
04.13(화),NC4,2SSG,문학,-
04.13(화),한화3,4삼성,대구,-
04.13(화),롯데8,0KIA,광주,-
04.13(화),LG2,8키움,고척,-
04.14(수),KT1,3두산,잠실,-
04.14(수),NC3,0SSG,문학,-
04.14(수),한화6,2삼성,대구,-
04.14(수),롯데2,3KIA,광주,-
04.14(수),LG13,2키움,고척,-
04.15(목),KT8,3두산,잠실,-
04.15(목),NC3,9SSG,문학,-
04.15(목),한화0,4삼성,대구,-
04.15(목),롯데5,10KIA,광주,-
04.15(목),LG6,4키움,고척,-
04.16(금),두산0,1LG,잠실,-
